comment_id,language,category,comment,english_translation
C016378,Tanglish,Hate Speech,Yennada senju vachu irukkenga? Sultan la Thalaivara Rajini bommaiya kaatna mathiri... Thalaiviya kevala paduthi vachu irukkenga...,
C016381,Telugu,Hate Speech,Food తక్కువ తింటారు. అందుకే ప్రజల డబ్బు వేలకోట్లు తినేశారు.,
C016383,Tanglish,Hate Speech,idhellam yevanda theater la parka poranga....tamil rockers fans da..,
C016385,Tanglish,Offensive,Trailerla last dialogue Semma Enna sethuduvomnu bayama irukka Savaradha irudhalum nerukku ner sanda pottu sanda pottu saavanum,
C016392,Tanglish,Offensive,Idhu ennada enga Amma ku vandha sodhana,
C016395,Roman Telugu,Hate Speech,bharat desamlo paalana chetakani cm paalana chetha kaka vaerae vaallani vimarsinche ekaika cm mana bataala posheti,
C016398,Tanglish,Offensive,Mersal Teaser ah Dis Like Pannunga Thala Fand,
C016403,Tanglish,Offensive,Ethulaa over yaa 22 age yenakku oru love eilla aana 80 vayasu ullava love pannuraaga mudiyala,
C016409,Tanglish,Offensive,"Apram yen suyama sindhikkaama, batmana copy panirkeenga ? Tell me.",
C016412,Kannada,Hate Speech,ಸೂಪರ್ ಗುರು ಟಿಕ್ ಟಾಕ್ ಗಳಿಗೆ ಮೆಟ್ಟಿನಲ್ಲಿ ಓದಿದ್ದೀಯಾ ನನ್ನತ್ರನೂ ಒಂದು ಹಳೆ ಮೆಟ್ಟಿದೆ ಕೊಡ್ತೀನಿ ತಗೊಂಡು ಬಿಡು,
C016419,Tanglish,Offensive,Surya anna fan SFC marana waiting Karthik chinna anna Kaithi movie,
C016422,Tamil,Offensive,ரொம்ப கேவலமா இருக்கு ....எவ்ளவோ எதிர்பாத்தேன்......வாக்களி ...என்னோட குல சாமி பெற கேடுத்துடிங்களே டா ....,
C016433,Roman Telugu,Hate Speech,atu mime netha itubeejeepeeneetaddaru noru adupulo pettukovaali appude ee desham loo allarlu adupulo untaayi,
C016437,Roman Telugu,Hate Speech,Vedhavalu Vedhavalu anni chotla vunnaru..inka janalani yedipinchadam tappa,
C016441,Tanglish,Offensive,Akshay kumar! Siva kumar kitta pesuriya... Manda battharam,
C016443,Tamil,Offensive,போராடுறது தப்புனா போராடுற சூழ்நிலை உருவாக்கியதும் தப்பு தானே யாருக்கோ செருப்படி...,
C016445,Roman Telugu,Hate Speech,maa charanh annaiah baghunnadhu love you dodd,
