comment_id,verdict,corrected_category,reason
C005401,Wrong,Safe,"Neutral request for promotion, no insult"
C005406,Wrong,Safe,"Movie hype reference, not real hate"
C005410,Wrong,Safe,"Casual criticism of actor's work, not hateful"
C005413,Wrong,Safe,"Neutral movie opinion"
C005415,Wrong,Safe,"Compliment on voice, not hateful"
C005416,Correct,,"Vulgar personal insult (beggar jibe), not group hate"
C005422,Wrong,Safe,"Fan appeal, no vulgar insult"
C005423,Wrong,Safe,"Casual complaint about repeated content"
C005426,Correct,,"Vulgar personal insult (stupid fellow) at individuals"
C005428,Wrong,Safe,"Neutral question about shoot"
C005430,Unsure,,"Garbled political accusation, unclear"
C005434,Wrong,Safe,"Neutral stats comment"
C005438,Correct,,"Vulgar sexual slur insult at individuals, not group hate"
C005442,Wrong,Safe,"Mild scolding, not vulgar insult"
C005443,Unsure,,"Garbled but appears supportive, unclear meaning"
C005446,Correct,,"Rude taunting insult at individual"
C005447,Wrong,Safe,"Critical opinion about actor, not vulgar insult"
C005449,Wrong,Offensive,"Personal insult about politician's behavior, not group hate"
C005450,Wrong,Safe,"Neutral movie comment comparing views"
C005454,Correct,,"Mild confrontational personal insult"
C005460,Wrong,Offensive,"Personal insult at filmmaker, not group-targeted hate"
C005463,Correct,,"Caste-based disparaging comparison between castes"
C005465,Wrong,Safe,"Political/economic unity commentary, no hate"
C005479,Wrong,Safe,"Compliment on acting"
C005480,Wrong,Safe,"Fan hype comment, not real hate"
C005482,Wrong,Safe,"Harsh political criticism, not hate speech"
C005483,Wrong,Safe,"Compliment on acting, not hateful"
C005485,Wrong,Safe,"Political commentary about security, not an actual threat"
C005491,Wrong,Safe,"Mild scolding, no vulgar insult"
C005496,Wrong,Offensive,"Vulgar personal insult, not group-targeted"
C005500,Wrong,Safe,"Neutral movie comparison"
C005508,Wrong,Safe,"Neutral proverb-like statement"
C005509,Correct,,"Caste-based hostile framing of intercaste relationships"
C005513,Unsure,,"Garbled sentence, unclear meaning"
C005514,Wrong,Safe,"Neutral opinion about story credibility"
C005520,Wrong,Safe,"Mild personal opinion on actor's weight, not vulgar"
C005524,Wrong,Offensive,"Vulgar personal insult at cricketer, not group hate"
C005528,Unsure,,"Vague slang reference, unclear intent"
C005530,Wrong,Safe,"Compliment/thanks, not hateful"
C005531,Wrong,Safe,"Garbled but neutral movie commentary"
C005547,Correct,,"Caste-based dehumanizing slur, calls caste group dogs"
C005557,Wrong,Safe,"Neutral political suggestion"
C005561,Wrong,Safe,"Neutral question about political figure's film role"
C005566,Correct,,"Mocking rude insult, not group hate"
C005568,Wrong,Safe,"Political praise/commentary, not hateful"
C005570,Wrong,Safe,"Personal criticism/boycott statement, not vulgar"
C005574,Wrong,Safe,"Neutral fan comment about show"
C005578,Wrong,Offensive,"Personal insult at actor, not group hate"
C005579,Wrong,Safe,"Neutral skeptical comment"
C005581,Correct,,"Vulgar family-insult slur at individual"
C005582,Wrong,Safe,"Compliment about politician's clarity"
C005583,Wrong,Safe,"Fan comment about leader mockery, not hateful"
C005596,Wrong,Safe,"Casual self-deprecating joke"
C005600,Wrong,Offensive,"Dismissive personal insult, not hate speech"
C005602,Wrong,Safe,"Opinion about casting, not vulgar"
C005604,Wrong,Safe,"Neutral opinion about music"
C005610,Correct,,"Insult (fool) directed at director individually"
C005613,Wrong,Safe,"Comment about director's known psycho-thriller style"
C005614,Unsure,,"Vague, unclear intent"
C005617,Wrong,Safe,"Neutral request, not hateful"
C005620,Wrong,Safe,"Neutral comment about song"
C005623,Wrong,Offensive,"Insult calling political party thieves, not hate speech"
C005631,Wrong,Offensive,"Mocking nickname for actor, personal insult not hate"
C005634,Wrong,Safe,"Fan chant/banter, not offensive"
C005635,Wrong,Safe,"Neutral movie commentary about promotion"
C005637,Wrong,Safe,"Fan/movie commentary, no hate"
C005640,Wrong,Safe,"Compliment, not hateful"
C005643,Wrong,Threat,"Threatens beating once party loses power"
C005651,Wrong,Safe,"Political mockery using slipper-beating idiom, not hate"
C005653,Wrong,Safe,"Political sarcasm, no hate content"
C005655,Unsure,,"Anti-caste message but uses dehumanizing language, ambiguous"
C005658,Wrong,Safe,"Political praise, not hateful"
C005662,Wrong,Safe,"Mild criticism, not vulgar"
C005664,Wrong,Safe,"Neutral personal statement"
C005671,Unsure,,"Garbled text, meaning unclear"
C005689,Wrong,Safe,"Neutral movie comparison comment"
C005691,Wrong,Safe,"Fan banter, not offensive"
C005693,Wrong,Offensive,"Vulgar insult phrase, not group-identity hate"
C005700,Unsure,,"Vague, unclear intent"
C005704,Wrong,Safe,"Compliment on dance"
C005708,Wrong,Threat,"Explicit call to beat people like this"
C005710,Wrong,Safe,"Nostalgic remark, not offensive"
C005713,Wrong,Safe,"Fan hype comment, not offensive"
C005717,Wrong,Offensive,"Disrespectful political jab, not group hate"
C005718,Wrong,Safe,"Compliment, respect increased"
C005720,Wrong,Offensive,"Personal insult about comedian's conduct, not group hate"
C005723,Wrong,Safe,"Sarcastic anti-casteism remark, not hate speech itself"
C005730,Correct,,"Vulgar sexual slur insult at named individuals"
C005735,Wrong,Safe,"Praise comment, not offensive"
C005737,Wrong,Safe,"Mocking comment about music, mild not vulgar"
C005740,Wrong,Safe,"Neutral movie comparison"
C005741,Wrong,Safe,"Negative movie opinion, not hateful"
C005742,Wrong,Safe,"Neutral request to like"
C005744,Wrong,Safe,"Movie dialogue quote/reference, not real threat"
C005749,Wrong,Safe,"Anti-caste-discrimination message advocating equality"
C005753,Wrong,Safe,"Political opinion, not hateful"
C005761,Wrong,Safe,"Praise for movie/songs, not hateful"
C005765,Unsure,,"Garbled text, meaning unclear"
C005766,Wrong,Safe,"Neutral observation, not offensive"
C005774,Wrong,Safe,"Mocking movie criticism, not vulgar"
C005780,Correct,,"Caste-based vulgar slur combined with violent threat"
C005781,Wrong,Offensive,"Vulgar personal insult calling someone crazy, not group hate"
C005783,Wrong,Offensive,"Personal insult calling politician drunkard/fool, not hate speech"
C005785,Correct,,"Mocking insult about actor's age/appearance"
C005795,Correct,,"Vulgar personal insult at named individual"
C005803,Wrong,Safe,"Praise for leader's communication, not hateful"
C005805,Wrong,Safe,"Opinion defending actor, not vulgar"
C005812,Wrong,Offensive,"Mocking insult at fan group, not protected-class hate speech"
C005813,Correct,,"Vulgar insult at fan group"
C005817,Wrong,Safe,"Political commentary fragment, not hateful itself"
