comment_id,language,category,comment,english_translation
C027375,Roman Telugu,Hate Speech,Chachipothe pedakaram poyedhiga andhuku bathikavra,
C027376,Tanglish,Offensive,Epdiyae ellarayum konnuptu neeyum seththu poidu,
C027377,Tamil,Hate Speech,என்னடா பண்ணி வச்சு இருக்கீங்க.... ஒரு side மட்டும் பெருசா இருக்கு,
C027382,Kanglish,Hate Speech,Bari telgu tamil movie nodthira ee thara movie nodi,
C027391,Tanglish,Offensive,Production Panna padathulula violence ahh eduthutu unga paduthula vakiringa vekkama illapotti nu vanthu pakka mudiyala ivlo nal enga poninga hero athalam pakka mudiyathu dislike um egiruthu,
C027392,Tanglish,Offensive,dai bgm a enaada panni vachurukeenga.... padam worstunu yaaravadhu sonna aadhuku karanam bgm dhan..... producer director actors ellathaiyum bgm keavalam aakiduchu..... thu thu thu....,
C027396,Kannada,Offensive,nayak ನಿಮ್ಮ ಅವ್ವ ಹಾದರಗಿತ್ತಿ,
C027399,Roman Telugu,Hate Speech,Konda gani over action kompamunchindi,
C027400,Roman Telugu,Hate Speech,papa nadumu sannaga baguntundi,
C027401,Tanglish,Offensive,Pakathana pora pongaluku kaali oda adatha,
C027408,Roman Telugu,Hate Speech,​Ap state nu sarwa nasanam chesaru,
C027414,Tanglish,Offensive,Teaser a pathu kalaichavalaa padatha pathu azha poranuga,
C027422,Tamil,Hate Speech,ஆத்தீ என்னாங்கடா Trailer யே இவ்வளவு Violent ஆ இருக்கு அப்போ படம் I am waiting for tamil rockers,
C027425,Tanglish,Offensive,Des like poda anaithu 9 punda,
C027427,Tanglish,Offensive,Yentha paratesingeh da dislikes kuduthingeh?? Thalaivar masss,
C027430,Tanglish,Offensive,"Only Thalaivar will get paid haters. Haters nee oru mayurum pudunga mudiyathu. You Ettapas, nickal nickal, Thalaivar Parak",
C027432,Tanglish,Offensive,0:54 ... ennada Jayalalithaa veesam poda sonna jagan mohini veesam pootu vachi irukinga,
