comment_id,verdict,corrected_category,reason
C049140,Wrong,Safe,"Political sarcasm, no hate content"
C049146,Wrong,Safe,"Nostalgic remark, no offense"
C049150,Wrong,Safe,Casual movie opinion
C049151,Wrong,Safe,"Movie hype reference, not real hate"
C049165,Wrong,Offensive,"Political criticism, not hate speech"
C049174,Unsure,,"Ambiguous mocking, unclear target"
C049176,Wrong,Offensive,"Insulting comparison, not hate speech"
C049178,Wrong,Safe,"Sarcastic praise, not hateful"
C049180,Wrong,Safe,Neutral movie comparison
C049181,Wrong,Safe,Mild political opinion
C049183,Unsure,,"Vague, unclear intent"
C049184,Wrong,Safe,"Opinion about movie criticism, not hateful"
C049190,Correct,,Vulgar-origin fan slang used harmlessly
C049191,Wrong,Offensive,"Accusatory claim, not hate speech"
C049204,Unsure,,"Garbled mythology debate, unclear"
C049205,Wrong,Safe,Movie hype comment
C049207,Correct,,Threatens violence tied to caste/women
C049208,Wrong,Offensive,"Crude joke, not hate speech"
C049209,Correct,,Contains vulgar slur
C049210,Correct,,Mild trash talk comparison
C049211,Correct,,Casteist dehumanizing language
C049212,Correct,,Vulgar sexual insult at fans
C049214,Wrong,Safe,"Movie criticism, not hate speech"
C049215,Wrong,Offensive,Sarcastic political mockery
C049216,Wrong,Offensive,Mild mocking comparison
C049218,Wrong,Safe,"Praise, not hateful"
C049230,Wrong,Safe,Neutral feedback
C049233,Correct,,Uses slur (eunuch insult)
C049234,Wrong,Safe,Movie dialogue commentary
C049236,Wrong,Safe,Praise of humble reaction
C049238,Wrong,Safe,Pure praise
C049239,Unsure,,Vague aggressive phrase
C049246,Correct,,Extremely vulgar abusive insults
C049255,Wrong,Safe,Pure praise
C049257,Wrong,Offensive,Mild political insult
C049261,Wrong,Safe,Grateful statement
C049263,Correct,,Vulgar insult toward composer
C049270,Unsure,,Vague corruption remark
C049273,Wrong,Safe,Affectionate praise
C049280,Wrong,Safe,Positive sentiment
C049284,Correct,,Extremely vulgar abuse
C049286,Wrong,Offensive,Mocking celebrities as 'zeros'
C049288,Wrong,Safe,Movie dialogue hype
C049295,Wrong,Safe,Fan movie reference
C049300,Correct,,Demeaning term plus wishing violence
C049303,Wrong,Safe,"Political sarcasm, no insult"
C049304,Wrong,Safe,Media credibility criticism
C049309,Unsure,,Unclear meaning
C049310,Wrong,Safe,Neutral criticism
C049314,Wrong,Safe,"Unclear fashion comment, no offense"
C049315,Correct,,Vulgar slur directed at haters
C049320,Wrong,Safe,Praise for video
C049323,Wrong,Safe,Neutral statement
C049331,Wrong,Safe,Movie opinion
C049342,Wrong,Safe,Compliment
C049345,Unsure,,Unclear phrase
C049346,Wrong,Safe,Neutral fan question
C049350,Wrong,Safe,Fan hype comment
C049351,Wrong,Offensive,Mocking fans for begging likes
C049353,Wrong,Offensive,"Vulgar personal insult, not hate speech"
C049357,Correct,,Contains vulgar language
C049358,Wrong,Safe,Poetic/philosophical quote
C049359,Unsure,,Ambiguous body comment
C049362,Wrong,Safe,Neutral like-count note
C049364,Unsure,,"Unclear phrase, possible slang"
C049382,Wrong,Offensive,"Rude challenge, not hate speech"
C049386,Correct,,Vulgar caste-based insults
C049387,Wrong,Offensive,"Vulgar sports insult, not hate speech"
C049388,Wrong,Safe,Praise
C049389,Wrong,Offensive,"Political/caste mockery, not hate speech"
C049394,Wrong,Offensive,"Mild rude comment, unclear"
C049399,Correct,,Vulgar sexual comment
C049404,Wrong,Safe,Complimentary comparison
C049406,Wrong,Safe,"Social commentary, not offensive"
C049412,Wrong,Offensive,"Vulgar slur, no group targeted"
C049417,Wrong,Safe,"Defends director, mild mockery of critics"
C049419,Wrong,Offensive,"Movie dialogue discussion, mild insult"
C049421,Wrong,Offensive,"Political criticism, not hate speech"
C049430,Unsure,,Unclear phrase
C049433,Wrong,Safe,Fan comment
C049437,Wrong,Safe,Neutral character description
C049439,Correct,,Vulgar slang used insultingly
C049445,Correct,,Vulgar-origin excitement slang
C049448,Correct,,Vulgar slur directed at person
C049451,Correct,,Derogatory insult at scriptwriter
C049453,Unsure,,"Vague, unclear intent"
C049462,Correct,,Vulgar sexual innuendo
C049485,Wrong,Safe,Praise
C049486,Wrong,Offensive,"Mocking movie title, not hate speech"
C049492,Wrong,Offensive,Political sarcasm/accusation
C049494,Unsure,,Condemns misogyny while quoting it
C049497,Correct,,Aggressive threatening tone
C049501,Wrong,Safe,Neutral fan comment
C049512,Wrong,Safe,"Praise, past skepticism now praise"
C049517,Correct,,Vulgar caste-based dehumanizing language
C049523,Wrong,Offensive,"Movie opinion, mild mockery"
