comment_id,language,category,comment,english_translation
C005401,Kanglish,Offensive,Proper promotion maadila sir,
C005406,Tanglish,Hate Speech,Rajini fans yellarum intha padam odathunu solranga but kandipa intha padam hit agum,
C005410,Tanglish,Hate Speech,Jayam ravi- enna da panni vachurukinga,
C005413,Tanglish,Offensive,"Intha movie ku kandipaa ....problm varum Because nalla movie ellathukum problm varum Its a masss movie,mass bgm",
C005415,Roman Telugu,Hate Speech,chaalaa chaalaa bagunnav and nee voice kuudaa,
C005416,Tanglish,Offensive,rajini style eh copy pannuthu pandaram,
C005422,Tanglish,Offensive,"Hindi PINK ku viswaasama irukra fans, enga NERKONDA PAARVAI ya asinga paduthaadheenga!!",
C005423,Tanglish,Offensive,yeppa Sami eththna murai da vottuna reelayea ottuveenga.,
C005426,Tanglish,Offensive,Jayam Ravi &director stupid fellow Rajini a yenda ezhukringa,
C005428,Kanglish,Offensive,Yentha shoot madbeka,
C005430,Roman Telugu,Hate Speech,palla malliga bidda pelli nee paisalatho chesinodu pcc adhyaksha padavi cone paisalu ekkadavi raa,
C005434,Tanglish,Hate Speech,WTF.. views 20k....likes 102k & dislikes 12k....???,
C005438,Tanglish,Offensive,Thevadiya luku porantha Pundachi magan tha dislike kudikuran.... Dislike ku porantha paiyagula...,
C005442,Tanglish,Offensive,ipdi patta trailer la epdida vekkamae illa ma dislike panringa....anna fans,
C005443,Roman Telugu,Hate Speech,SisterNelanti vaallu thaluchukuntey condecterley kaadhu collectorlu avthaarukalaakarulavtharuneku suport chestunna ne family kiA P S R T C ki ne tharupuna Thanks cheptunna,
C005446,Tanglish,Offensive,Konjam othungidu odi pathungiru varathu thalavaru petta parak !!!!!!!!,
C005447,Tanglish,Offensive,"Parota soori ya mattum potraadheenga, nalla irukura padathayum naasamaakiduvaan",
C005449,Telugu,Hate Speech,ఆవిడ మంత్రి అయ్యాక పిచ్చి ముదిరి ఎక్స్ట్రా జబర్దస్త్ అరుపులు అరుస్తుంది. పట్టించుకోవద్దు.,
C005450,Tanglish,Offensive,Bigil teaser ku Aparam Marupadium Kaithi trailor Paka vantha anga Ethana peru?? Kaithi,
C005454,Tanglish,Offensive,Rajine sira Kindal pana Ne yaruda venna,
C005460,Tamil,Hate Speech,காசு இருக்குறவன் காசு இல்லாதவன் அதுதான் இங்க மேட்டரு.. அந்த ஜாதி இந்த ஜாதிய பார்த்து லவ் பன்றானுங்க என்று நம்புவதெல்லாம் சுத்த முட்டாள்தனம்.. இத படமா எடுத்தவன் தன் வீட்டு பெண்கள் மீதே நம்பிக்கை இல்லாத கேடு கெட்டவன். த்த்தூ..,
C005463,Roman Telugu,Hate Speech,kapu ante Balupu kaaadu..Reddy Chowdary veellaki unnantha Balupu kapu ki undadu,
C005465,Kanglish,Offensive,Namma bharatadalli baren Hindu muslims G D P tumba jaste..ogattu ella hege edre e jamanudalle china ge meresoke agalla..,
C005479,Roman Telugu,Hate Speech,Mind blowannaekumbaga chesaru acting iddaru super anuko annnaaa,
C005480,Tanglish,Hate Speech,Idha dislike panrava anti idian en thalaivar padam mass uh varapothu,
C005482,Telugu,Hate Speech,రైతు బంద్ వల్ల ఎవరికీ లాభంరా నాయన ఎవరికీ ఏకువా భూమి ఉంటే వాడికే ఏకువ లాభం నువ్వు నీ బ్రోకర్ జర్నలిజం,
C005483,Telugu,Hate Speech,దానంలో కర్ణుడికి కజిన్ లా నటనలో కమలహాసన్ ను మించిపోయేలా,
C005485,Roman Telugu,Hate Speech,hatyaku plan chesara oka mantriki entha security untundo telusa anta mandi security nee tappinchukoni samanyulu mantrini hatya chesentha untundaamantrini kaapaadalekapothe aa security laku prajala sommutho jeetaalu enduku istunnattu,
C005491,Tanglish,Offensive,"Intha trailer kuda dislike pannirkingleee ungalukku manashakchiyee illiyadaa ,,,,,,,",
C005496,Roman Telugu,Hate Speech,Overaction tho jaanani confuse chestunnaru ...picchi na k***,
C005500,Tanglish,Offensive,Enada music abitiye asuran mariye iruku,
C005508,Telugu,Hate Speech,విలువలు తెలిసిన మనిషి విలువైన మనిషి,
