comment_id,language,category,comment,english_translation
C070797,Roman Telugu,Offensive,"Okka maata, Diniki emaina artham unda, waste of time Idi nijam. #WomenSafety","one thing, does this even make sense, total waste of time this is true."
C070798,Telugu,Hate Speech,"నిజం చెప్పాలంటే, ఇలాంటి ఆడవాళ్ళ వల్లే మగవాళ్ళు బాధపడేది నమ్ము నన్ను. !!!","honestly, it's because of women like these that men suffer trust me."
C070799,Roman Telugu,Offensive,"Hey, Enduku antha negative-ga untav eppudu Nammu nannu.","hey, why are you always so negative trust me."
C070806,Roman Telugu,Hate Speech,"Mava, Vellandaru chesedi kevalam drama-ne Anthe. ??","bro, all they do is drama that's it."
C070808,Telugu,Offensive,"మావా, ఇలాంటి వాళ్ళని చూస్తే జాలి కూడా వేయదు నిజంగా. 😡","bro, seeing people like this doesn't even evoke pity really."
C070823,Roman Telugu,Offensive,"By the way, Diniki emaina artham unda, waste of time Idi final. smh","by the way, does this even make sense, total waste of time this is final."
C070825,Roman Telugu,Hate Speech,"Urike cheptunna, Vellandaru chesedi kevalam drama-ne Arthamaindha? smh","just saying, all they do is drama got it?"
C070831,Roman Telugu,Offensive,"Okka maata, Evadu adigadu nee opinion Idi nijam. 🔥","one thing, who asked for your opinion this is true."
C070844,Roman Telugu,Hate Speech,"Ila chudu, Adavallaki sontha opinion undadu, evaro cheppindi vaadataru Nijanga. ??","see here, women don't have their own opinions, they just repeat what someone told them really."
C070845,Telugu,Offensive,"ఏయ్, నువ్వు మాట్లాడేది ఎప్పుడూ అర్థం లేకుండా ఉంటుంది","hey, what you say never makes any sense"
C070846,Roman Telugu,Hate Speech,"Chudu, Adavallu intlo undali, online-ki ravaddu Anthe. 😡","look, women should stay home, not come online that's it."
C070850,Telugu,Hate Speech,"ఇలా చూడు, వీళ్ళకి ఎప్పుడూ ఏదో ఒక కంప్లైంట్ ఉంటుంది అంతే సీరియస్‌గా.","see here, they always have some complaint or the other, that's it seriously."
