comment_id,verdict,corrected_category,reason
C054610,Correct,,derogatory contemptuous remark
C054611,Wrong,Offensive,"dismissive remark, not group-based hate"
C054613,Correct,,explicit hateful generalization targeting feminists as a group
C054615,Wrong,Safe,"mild negative opinion about content, not offensive"
C054616,Correct,,rude dismissive insult
C054617,Wrong,Safe,"mild criticism, no insult or hostility"
C054619,Wrong,Safe,"mild negative opinion about content, not offensive"
C054621,Correct,,misogynistic generalization about women's sense
C054629,Correct,,direct personal insult
C054631,Wrong,Offensive,"generic dismissive remark, no explicit hateful target"
C054634,Correct,,derogatory personal insult
C054639,Correct,,direct personal insult
C054643,Correct,,personal insult belittling the person
C054646,Correct,,blames women as a group for problems
C054648,Wrong,Safe,"mild negative opinion about content, not offensive"
C054650,Wrong,Safe,"mild criticism, no insult or hostility"
C054654,Correct,,"blames women as a group, misogynistic generalization"
C054655,Correct,,misogynistic generalization distrusting women
C054662,Wrong,Safe,"mild personal criticism, not offensive"
C054664,Correct,,derogatory personal insult
C054665,Correct,,misogynistic generalization distrusting women
C054667,Correct,,misogynistic generalization denying women access/rights
C054669,Correct,,derogatory insult calling content trash
C054672,Correct,,misogynistic generalization about women's intelligence/agency
C054676,Correct,,personal insult belittling the person
C054683,Wrong,Safe,"mild criticism, lacks insulting language"
C054685,Correct,,personal insult blaming individual
C054689,Correct,,personal insult blaming individual
C054690,Wrong,Safe,"mild criticism, lacks insulting language"
C054696,Wrong,Safe,"mild personal criticism, not offensive"
C054698,Correct,,derogatory contemptuous remark
C054699,Wrong,Offensive,"generic dismissive complaint, no explicit hate target"
C054701,Correct,,derogatory dismissal of content
C054705,Wrong,Offensive,"generic dismissive remark, no explicit hateful target"
C054706,Correct,,blames women as a group for problems
C054708,Correct,,explicit misogynistic statement restricting women
C054717,Wrong,Safe,"mild personal criticism, not offensive"
C054724,Correct,,derogatory contemptuous remark
C054726,Correct,,misogynistic generalization about women's intelligence/agency
C054743,Correct,,misogynistic generalization about women's sense
C054748,Correct,,misogynistic generalization distrusting women
C054750,Correct,,"blames women as a group, misogynistic generalization"
C054751,Wrong,Offensive,"generic dismissive remark, no explicit hateful target"
