comment_id,verdict,corrected_category,reason
C016378,Wrong,Offensive,Rude/vulgar insult but no protected-group target
C016381,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016383,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016385,Correct,,"Genuine rude/vulgar insult, correctly flagged"
C016392,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016395,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016398,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016403,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016409,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016412,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016419,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016422,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016433,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016437,Wrong,Offensive,Rude/vulgar insult but no protected-group target
C016441,Correct,,"Genuine rude/vulgar insult, correctly flagged"
C016443,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016445,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016449,Wrong,Offensive,Rude/vulgar insult but no protected-group target
C016453,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016456,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016460,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016468,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016470,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016479,Wrong,Offensive,Rude/vulgar insult but no protected-group target
C016482,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016484,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016487,Correct,,"Explicit group-based hate / slur, correctly flagged"
C016489,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016493,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016498,Wrong,Offensive,Rude/vulgar insult but no protected-group target
C016508,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016517,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016533,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016538,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016540,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016546,Wrong,Offensive,Rude/vulgar insult but no protected-group target
C016554,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016557,Wrong,Offensive,Rude/vulgar insult but no protected-group target
C016559,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016571,Correct,,"Genuine rude/vulgar insult, correctly flagged"
C016573,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016575,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016578,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016583,Wrong,Offensive,Rude/vulgar insult but no protected-group target
C016585,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016589,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016592,Correct,,"Vulgar personal insult, not group-targeted hate"
C016598,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016606,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016608,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016612,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016619,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016620,Wrong,Offensive,Rude/vulgar insult but no protected-group target
C016629,Wrong,Safe,"Mild political criticism, no slur"
C016634,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016637,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016642,Wrong,Offensive,Rude/vulgar insult but no protected-group target
C016646,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016651,Correct,,"Genuine rude/vulgar insult, correctly flagged"
C016655,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016658,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016662,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016668,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016670,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016672,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016674,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016687,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016696,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016699,Wrong,Offensive,Rude/vulgar insult but no protected-group target
C016700,Wrong,Offensive,Rude/vulgar insult but no protected-group target
C016702,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016706,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016713,Correct,,"Genuine rude/vulgar insult, correctly flagged"
C016716,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016718,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016719,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016721,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016723,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016728,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016729,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016734,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016739,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016747,Wrong,Threat,Explicit threat of violence
C016756,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016757,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016770,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016772,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016775,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016780,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016781,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016782,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016783,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016787,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016790,Wrong,Offensive,"Vulgar personal insult, not group hate"
C016793,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016797,Wrong,Offensive,Rude/vulgar insult but no protected-group target
C016798,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016800,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016808,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016810,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016811,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016817,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016820,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016821,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016822,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016832,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016834,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016835,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016843,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016844,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016845,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
C016847,Wrong,Offensive,Rude/vulgar insult but no protected-group target
C016853,Wrong,Safe,"Neutral movie/political comment, no hate or offense"
