comment_id,language,category,comment,english_translation
C010873,Roman Telugu,Hate Speech,brow moto vlogging loo andari kannah nuvve ishtam naaku,
C010874,Tanglish,Offensive,Petta yen trending la varala....Rajini fans wht happened......???,
C010879,Tanglish,Hate Speech,Make is like a Disneyland movie.,
C010882,Tanglish,Offensive,mayiru maadiri iruku thevidiya pasagala Rajinikath vaithu vilambaram theduriga,
C010888,Tanglish,Offensive,Konjam porunga Vishwasam trailor varatum appo therium yaaru gethu nu,
C010896,Tanglish,Offensive,Telugu movie vida ovra irukku yen ippadi katthuran ippdi yei pona ellarum theatre vittu oddiduvanga,
C010899,Roman Telugu,Hate Speech,Jagananasainyamfromchatla,
C010902,Tanglish,Hate Speech,Kudhi padam.......nangadha eppaume Veera paraiyanda......enga Anna thirumavalavara paththi pesi irukinga pesita endha padam vandhidichina.......pongadaaa enga Anna pa.ranjith anna wait pannitu irukaru wait pannungaaaaaa,
C010906,Tanglish,Hate Speech,Simbu and Arun Vijay are fucking badass!,
C010913,Telugu,Hate Speech,అల్లు అర్జున్ కి ఏక్కడో సూడి ఉ౦దిmultitalent వున్నోడు అల్లు అర్జున్ ఒక్కడే ఇన్ ఇ౦డియా,
C010914,Roman Telugu,Hate Speech,venkie sir kii assalu ego anedi leneledu sir ur super maan,
C010915,Tamil,Hate Speech,அவ்ளோ தான்.. தியேட்டர்க்கு போறவங்க மூளை பெரிதாகி காது வழியாக வழியப் போகுது....,
C010916,Tanglish,Offensive,Enga Anna varurua Ella uthkittu enga ana Vijay setepathei,
C010920,Telugu,Hate Speech,"జగన్ చాలా తక్కువ తింటాడు, డబ్బులు మాత్రం చాలా ఎక్కువ తింటాడు",
C010928,Tanglish,Offensive,Ayo ayo namma aalungaluku vera velaiya ellaya daw Epadium mokka padam thaan therinju poachu,
C010929,Tanglish,Offensive,Oru reality kedaikala VFX not good,
C010936,Tanglish,Offensive,Kuruma va vatchi seiya pokuthu 🤣,
C010937,Kanglish,Offensive,bindhu lowda na enu rost madu guru,
C010943,Tanglish,Offensive,we love actor rajini not politician rajini,
C010945,Roman Telugu,Hate Speech,NUV MIA KHALIFA NA SARAYU pedda figure needhi,
C010950,Tanglish,Offensive,Idhuku dislike potavanuga pesama indha Naata vittu vera engayachum poi tholaingada,
C010953,Kanglish,Hate Speech,Tik tok bevarsigalanna chaina gadiyalli chaddiyalli bomb ettu chaina kade odisa beku avaga sari agutte,
C010965,Tanglish,Offensive,nee enna wig mannana therla apadi than pesiguranga bharatha vatchu saira ATM part 2,
C010966,Roman Telugu,Hate Speech,Sorry to say but chinna events ki velthe ilaney jarugutundi..,
C010967,Roman Telugu,Hate Speech,annaiah nuvvu suses ayyalani manasara korukuntunna iam frame vijiyanagaram,
C010973,Roman Telugu,Hate Speech,abba anna ee veediyo sang kosam neenu chaalaa white chesha,
C010977,Tanglish,Hate Speech,"Kadaisi padam flop aagi, Adutha padathuku director kidaikuma Apram orey Dir kooda padam panni Apram Producer kidaikama Naai maari alanju, Apdi kidacha apram kooda Heroine Nadika matenu serupadi koduthu Oru valiya ellam kidaichu,Foreign ku poi sylvester nu oru vadaiya suttu, Siva lam Collection Beat panni,photoshop panni,Vijay Fans kitayum Public Kitayum Daily Serupadi Vaangi,intha varusam engaluku Deepavali Illada nu kathari azhuvura pangu fans ku Intha #BairavaTeaser Dedicate panrom.....",
C010979,Tanglish,Offensive,Dei maanam ketta naaigala idhellam Oru trailer ah da....Che....,
C010981,Tamil,Hate Speech,குருமா குஞ்சுக்கோ இப்போ அளருவாக பாரு கமட் ல,
C010986,Telugu,Hate Speech,Character of the episode award goes to 1A master అంతే కధమ్మా రేయ్,
C010987,Kannada,Offensive,ಉಗಿ ಕಳ್ಳ ನನ್ ಮಕ್ಲುಗೆ,
C010996,Roman Telugu,Hate Speech,sudeer anna simple ness super,
C011006,Tamil,Offensive,நாடோடிகள் எதற்க்கு வெற்றி அடைஞ்சுது... இப்ப நீ இத புரட்டசி type la எடுத்து வச்சிருக்க ..‌ லூசு பயலே # சமுத்துறகனி,
C011011,Tanglish,Offensive,Azhagiya Tamil magan teaser ah Ithu? Shreya Enga pa?,
C011015,Roman Telugu,Hate Speech,andhrapradesh prajalu maralani maarpu ravalani korukuntunnanu,
C011018,Tanglish,Hate Speech,Ivlo nalla iruku eanda Inum release pannala,
C011023,Roman Telugu,Hate Speech,ongol pays college 2020 batch maadhi,
C011026,Tanglish,Offensive,"Orutthar Mela viswasam kaadrathala ..... Innorutthara Yan asinga paduthureenga ..... Dai ungalathanda THALA ,THALAPATHY FANS",
C011027,Tanglish,Offensive,Entha devangu naaiuva ennum uiroda than erukkudhugala,
C011033,Roman Telugu,Hate Speech,package teesukoni bratikewade packagy gurinchi maataadutunnaru,
C011036,Tanglish,Offensive,Ethirpartha aluvuku illa trailer apurum Vijay Sethupathi ku kaga pakalam super star mass illa intha padathulaa koncham kamipanitingaa,
C011040,Telugu,Hate Speech,ఇంక ఆపుర నాయనా... అక్కడ చూయించు...,
C011044,Roman Telugu,Hate Speech,nuvvu maa chellivaithe inca santoshinchevaadini,
C011048,Roman Telugu,Hate Speech,Big boss lo he felt lonelya emotion lo siri ne hug cheskunadunot with bad intentionhope Deepthi understands himhis smile nd eyes both r filled with pain,
C011058,Tanglish,Offensive,dae. anil kutti ellam uravituu ootungada,
C011059,Tanglish,Hate Speech,Ennada panni vachirukeenga enga amma ah,
C011060,Kanglish,Hate Speech,Dislike madiroro rashmika fans irbeku,
C011061,Roman Telugu,Hate Speech,Pichi pattinattundi peekey ki. A P arachekam jaragabothundhi ani anipistundhi naku,
C011062,Roman Telugu,Hate Speech,Eema em peekindhi ra judge la pettaru,
C011071,Tanglish,Offensive,Mersal teaser varattum aamai kunji la okkanthu mukki mukki pannuna record la adichu norikkittu pooromOkkanthu oppari vainga da aamais,
C011082,Tamil,Hate Speech,இதனை வலி என உனரும் அணைவருமே தமிழர் தேசத்தில் வாழ தகுதியற்றவர்கள். என்பதை உனர்ந்துகொள்ளுங்கள் ( நல்ல பிறப்பாக இருந்தால் ) எனக்கு தெரிந்த வரை அப்படி நீங்கள் இருக்க வாய்ப்பில்லையடா....,
C011083,Roman Telugu,Hate Speech,Vacharuu thikdhi thikkoduu,
C011086,Tanglish,Hate Speech,Trailer ivalavu mokkaiya irukku! Padam kandippa padu mokkaiya irukkum! Thevai illama dubb pantranga! 4:14 sec trailer worth illa nu thonuthu!,
C011091,Tanglish,Offensive,"Paaka thaane pora intha kaaliyude aattathe, pongal will be petta parak, love from kerala",
C011092,Telugu,Hate Speech,ముందు వాలంటీర్ అంటే అర్థం తెలుసుకోరా,
C011093,Tanglish,Offensive,Masss trailer.... Antha 26k dislikes pannavangalam yaaru Samy nengalam.. epdithan ungaluku Padam edukanum ithuku mela...,
C011099,Tanglish,Offensive,Hindi la U/A certificate. Tamil la U certificate. Yepdi da dei? Yellarum India la thaane irukkom?,
C011105,Tanglish,Offensive,Oru channel la sona marie pana matingala daaa dei,
C011108,Tanglish,Hate Speech,Poratum poratum nu panna nadey sudugadu aidum.by Rajni Poratum panrathu thappuna poradra suzhnilaya uravukurathu atha Vida thaapu by Suriya,
C011111,Roman Telugu,Hate Speech,logical what u said is exactly right appreciated they way you explained they concepts of government and other way of ruling good keep it up dear,
C011118,Telugu,Hate Speech,అన్నకు అర్థమయింది ఈ పాటకు అందరూ పరుగెత్తి పోతారని,
C011120,Tanglish,Offensive,2:9 yogi babu anna hair style engada...,
C011121,Roman Telugu,Hate Speech,raara mawa manadanta okay college raa mawa neenu nee seeniyarni raa,
C011138,Kanglish,Offensive,Belagavi dag release madro #diya....,
C011143,Tanglish,Offensive,Yennathu DOUBLE MEANING PRODUCTION ah?,
C011166,Tanglish,Offensive,Ethana peru ethu maari padathula ajith nadikanum nu nenaikuriga?,
C011167,Roman Telugu,Hate Speech,anna pinky akka kaada nae jodi vaerae is pinky akka,
C011169,Tanglish,Hate Speech,Yoov Trumpuh nee intha maari padam.edukkuravangalayum realaavey pesuravangealayum nee kollu yaa ...nee thaan thairiyamana aalacheyy,
C011171,Kanglish,Offensive,P neenu devarannu nodidhiya?? Illa alva hagadre kai yake mugithi....?.devaru idhana antha thane...idhu kooda haagene,
C011172,Roman Telugu,Hate Speech,veedu college rann chestunnadu ante elaa nammaliveede gitlunte veeni collegelecturerspillu ayyo devuda,
C011175,Tamil,Hate Speech,இப்படி ஒரு அருவா தீட்டப்படும்ன்னு எதிர்பாத்திருக்க மாட்டாங்க சும்மா வீசுங்க,
C011195,Tanglish,Hate Speech,Neenga seendhi irukkarathu amaidhiya paduthuttu irukkara Puli paayathukku romba neram aagaathu,
C011200,Tanglish,Offensive,Kekka bekka short film ipo future film ah aagiduchu doi.....,
C011209,Tanglish,Hate Speech,enna ga ithu pithalatam views a vida likes kooda iruku,
C011210,Tanglish,Offensive,otha thalivara pathi kindal pana sagatichiduvom,
C011219,Tanglish,Offensive,1.48 Enna Da pantriga pinnadi,
C011224,Tanglish,Offensive,Dont breathe remake nu sonanga adhu poiiiiaaaa🤨,
