comment_id,language,category,comment,english_translation
C043695,Kanglish,Offensive,T Lo comment maadbeku anstu maaddhe Telugu commenta nange Telugu baralla...idhu Kannada song marre,
C043697,Kanglish,Offensive,sᴛᴜᴅɪᴏ ᴍᴏᴠɪᴇs neen huttidh yav kuttige,
C043699,Tanglish,Offensive,dei pecha kora da eppa singam.........,
C043707,Tamil,Offensive,தேவிடியா பசங்க நாங்க மட்டுமா நாடகம் காதல் பன்ரோம் ஆம்பள டா அடங்கயெல்லாம் முடியாது அதுயெல்லாம் அந்த காலம் கேன புன்டேகலா படத்தபார்த்து முடிவெடுக்காத அவ அவ என்னபன்னா யோசிடா ஜாதிய நாங்கல ஆரமிச்சோம் நீங்க ஏன்டா எங்கல அடிமை செய்யனும் 🤨🤨🤨,
C043717,Kanglish,Hate Speech,Kadu odiyuva majane bere inserted people get a answer,
C043725,Kanglish,Offensive,M.R maga urkanbeda bido,
C043747,Tanglish,Offensive,"I think sivakarthickku hero getup set aagala, trailer is good,but movie average pogumnu ninaikiravanga like Pannuga",
C043749,Tamil,Offensive,ரஜினியை ஏமாற்றிய முருகதாஸ் உண்மை பின்னணி :,
C043754,Roman Telugu,Hate Speech,Na modda la expressions,
C043755,Roman Telugu,Hate Speech,Chillara vedu,
C043760,Tanglish,Offensive,marubadiyum palaya panjamirathathan start pannitan da hahaha title paathe mudivu panniten ipdithan varumnu... athe mari vanthuduchu ... disappointed,
C043761,Tamil,Offensive,கங்கனா ஜெ வேடத்துல சுத்தமா பொருந்தல யா,
C043763,Roman Telugu,Hate Speech,Idendayya idi Mariiii ila thayarayyaru Dandaalu ra ayya,
C043766,Roman Telugu,Hate Speech,Meeku governer post ivvadame waste,
C043767,Tanglish,Offensive,1:08 Enna karumamda idhu.. Andha amma pei ya vandhu unna sagadikumya vijay,
C043772,Tanglish,Offensive,Its mohanlal not mohan lal,
C043783,Tanglish,Offensive,Intha trailer dislike pandra va manushan na illa,
C043784,Roman Telugu,Hate Speech,aandhra police meeda eppudo nammakam poyindi,
C043786,Telugu,Hate Speech,నిజాయితీని నముకునోడు సక్కగా వుంటాడు దారి తాపిన నాకొడుకు ఒగోని కాళ్లు పట్టుకుంటున్నాడు,
C043791,Kanglish,Hate Speech,Thu yar guru karma ithara video gu dislike madtare ...,
C043792,Roman Telugu,Hate Speech,"Minority ayithe vadhileyaala , vaallemayina Nawab laa , vaallakemayina kommulu molachaaya , vaallemayina swargam lonchi oodipaddaara , minorities ki ee special treatment endhiraa",
C043795,Kanglish,Offensive,Pubg kooda ban agbeku guru..,
C043797,Kanglish,Offensive,Kinyaje yen promotion madtare ivaru. Bengaluru bittu yelladru hogtara promotion madakke?nTamil,
C043798,Tanglish,Hate Speech,Monkeys Like here Donkeys Comment,
C043804,Telugu,Hate Speech,అన్నా నువు ముడ్డి కడుక్కోకు.ఆ నీళ్లు వృథా కావు.పొలాలకి నీటి కరువు వుండదు.,
C043807,Kanglish,Offensive,Vijaykumar s Kumsi hotelnKumsi,
C043811,Tanglish,Hate Speech,Ottu mothama sethuruchi intha trailer nu solravan ungalukulle ponnu kuduthu ponnu yeduka matingada...ungalukulle pirivinai iruku ithula peruma Vera Pongada nan thalith Pennai thirumanam seitha agamudayar da unga jathi veriya thukki kuppaila podu ithala oru use m kedaiyathu.. Chi Pongada,
C043820,Tanglish,Offensive,Konjam othingiru.. odi pathingiru.. Varathu Thalaivaru..petta paraak.... Tha.. Marana Mass.. Get Rajinified... Best wishes from Thalapathy fans..,
C043821,Telugu,Hate Speech,So much transformation in శ్రీముఖి Very good anchoring,
C043822,Tanglish,Hate Speech,Adichi odra adha odra adha odra adha....odra adha odra adha fans like here,
C043824,Tanglish,Offensive,Viswasam Teaser vartum Nama Side la Irnthu Oru Sambavam Panuvom,
C043827,Tamil,Offensive,1996 நான் அரசியலுக்கு வருவது உறுதி... 2016 நன் அரசியலுக்கு வருவது உறுதி... (2019ல் தண்ணியை விட்டு வெளியில் வந்த காஞ்சிபுரம் அத்திவரதர்.. தற்போது 40 வருடங்களுக்கு பிறகு 2059ல் மீண்டும் வெளியில் வந்தார்...) 2059ல் எந்திரன் 13ம் பாகம் இசை வெளியீட்டு விழாவில் நான் அரசியலுக்கு வருவது உறுதி என ரஜினிகாந்த் கூறினார்...,
C043830,Telugu,Hate Speech,చెప్పినవి చెప్పినట్టు జరిగితే అడగడానికి అపాయింట్మెంట్ కూడా దొరకదు వినేవాడు ఉంటే ఏదైనా చెప్తారు,
C043846,Tanglish,Hate Speech,"ajith fans neegala ketta varthai pottu thitradhuku dhan layaku yenga yedhachum oru movie yenga thalapathy movie teaser or trailer ah beat panirukunu solluga naiiii gala perusa pesavadhutanuga negalam pesamatum dhan layaku.idho bairava teser beat panucha adhan da naigala nanga.oru movie la yengala vida collection and views, likes vangi kamida naiiigala apo othukuren unga thoppaiyan dhan periyalu mudinja panuga neegala ambalaya irundha",
C043852,Tanglish,Offensive,Jeyam Ravi thanaku Thane aapai sorugikittar.thalaivara kalaikra alawuku periya aala aagitar pola.pudungi ravi,
C043853,Roman Telugu,Hate Speech,Nidra pothunna gaadida nu lepi thanninchukovadam ante ide. Dayachesi vadiki public lo mike ivvakandi.,
C043856,Roman Telugu,Hate Speech,babu kcr meeru congress thothu modi sir gurchi maryaadagaa mataldandi,
C043857,Roman Telugu,Hate Speech,ee vakhyam rr loo raam charanh jail seen deggara vaadaru,
C043859,Tanglish,Hate Speech,Apram arasiyalvaathi Avan payyanukku arisi vikkava solli kuduppan politics ah solli kuduppan ketta vaarisu arasiyal nu koovurathu,
