comment_id,verdict,corrected_category,reason
C021910,Wrong,Safe,"Praise comment, not hate speech"
C021916,Wrong,Safe,"Praise for businesswoman, not hate speech"
C021924,Wrong,Offensive,"Personal insult about lacking humanity, not hate speech"
C021925,Wrong,Safe,"Political criticism, no hate content"
C021929,Correct,,"Insult about lacking manliness, targets individual not group"
C021931,Wrong,Safe,"Sarcastic movie comparison, not offensive"
C021935,Wrong,Safe,"Comment about view/like mismatch, not hate"
C021936,Wrong,Threat,"Explicit threat to end his life if he speaks against NTR"
C021939,Wrong,Offensive,"Accusatory personal criticism, not group hate"
C021941,Correct,,"Mocking personal comment about wig/hair"
C021952,Wrong,Safe,"Praise comment about leader"
C021954,Wrong,Safe,"Comment about dislikes, not offensive"
C021955,Wrong,Offensive,"Harsh political insult at individual, not group hate"
C021956,Wrong,Safe,"Pure praise for music"
C021963,Unsure,,"Garbled fan comment, unclear meaning"
C021964,Wrong,Offensive,"Accusatory insult calling dislikers 'sleeper cells', not group hate"
C021965,Wrong,Safe,"Accusation of copying, not offensive"
C021967,Wrong,Safe,"Criticism about comedy content, not hateful"
C021968,Wrong,Offensive,"Political accusation about caste politics, not group hate"
C021971,Wrong,Safe,"Fan rivalry comment about dislikes"
C021972,Wrong,Safe,"Political support statement, not hate"
C021977,Wrong,Safe,"Birthday wishes, clearly safe"
C021980,Unsure,,"Slang phrase, ambiguous meaning"
C021981,Wrong,Safe,"Casual friendly comment"
C021984,Wrong,Safe,"Fan comment about movie, not offensive"
C021995,Wrong,Safe,"Movie opinion/expectation, not offensive"
C022000,Wrong,Offensive,"Demeaning personal insult at politician, not group hate"
C022002,Unsure,,"Garbled phrase, unclear if caste slur or something else"
C022004,Wrong,Safe,"Neutral request for video content"
C022005,Wrong,Safe,"Excited fan comment about teaser"
C022008,Unsure,,"Garbled phrase, meaning unclear"
C022009,Wrong,Offensive,"Personal insult at individual, not group-targeted hate"
C022014,Wrong,Safe,"Emotional movie/love story commentary, no hate content"
C022023,Wrong,Safe,"Fan commentary about trailer, not offensive"
C022024,Wrong,Safe,"Accusation of copying dialogue, not offensive"
C022027,Wrong,Offensive,"Vulgar personal slurs at individual actor, not group hate"
C022038,Wrong,Safe,"Mild criticism, not offensive"
C022045,Wrong,Safe,"Political opinion, no hate"
C022049,Wrong,Safe,"Movie opinion/critique, not offensive"
C022050,Wrong,Safe,"Movie comparison joke, not hate"
C022057,Wrong,Safe,"Skeptical fan comment, not hateful"
C022059,Correct,,"Calls others 'fools', mild insult not hate speech"
C022063,Correct,,"Caste-targeted insult against Kuruma community"
C022068,Wrong,Safe,"Fan praise comment about trailer"
C022078,Correct,,"Extremely vulgar caste-based sexual violence boast, targets caste group"
C022085,Wrong,Safe,"Comment about dance sequence, not hate"
C022093,Wrong,Safe,"Social/political commentary on caste representation in film, not hateful itself"
C022101,Unsure,,"Garbled/threatening fragment, unclear intent"
C022103,Wrong,Safe,"Neutral remark, not offensive"
C022108,Wrong,Safe,"Nostalgic reminiscence, not hateful"
C022110,Wrong,Safe,"Social commentary about media coverage, not hateful"
C022111,Wrong,Safe,"Comment about liquor policy, not hate"
C022112,Wrong,Safe,"Comment about view/like counts, not offensive"
C022115,Wrong,Safe,"Political/movie opinion, not offensive"
C022116,Wrong,Safe,"Fan rivalry banter, not vulgar insult"
C022118,Wrong,Safe,"Enthusiastic fan hype text, not offensive"
C022124,Wrong,Threat,"Explicit threat of violence ('will trample you') combined with vulgar abuse"
C022125,Wrong,Threat,"Explicit threat of violence ('will cut your genitals') combined with vulgar abuse"
C022138,Wrong,Safe,"Plain opinion about songs"
C022142,Wrong,Safe,"Social commentary about anti-caste theme, not hateful"
C022143,Wrong,Offensive,"Demeaning personal insult about politician's background, not group hate"
C022145,Wrong,Safe,"Praise comment about Dhanush"
