comment_id,language,category,comment,english_translation
C032888,Tanglish,Hate Speech,Dai ammava kaata sonna annebelle bommaiya kaatureenga🤣,
C032892,Telugu,Hate Speech,నాకు పెద్దగా పోలీస్లూ అంటే నచ్చరు కానీ మీకూ నా హ్యాట్సాఫ్ సార్ మీలాంటి వాళ్లు అన్ని చోట్ల ఉండాలని కోరుకుంటున్నాను,
C032893,Tamil,Hate Speech,"இயக்குனருக்கு வாழ்த்துக்கள் , குருமா,பீ ரஞ்சித் கூட்டத்திற்கு செருப்படி, ஏண்டா நீங்களாம் அடுத்த சாதி பெண்களுக்கு அலஞ்சா உங்க சாதி பெண்கள் என்னடா பண்ணுவாங்க உங்க சாதி பெண்களை நீங்களே மதிக்கலயா ?? அனைத்து சொந்தங்களும் இந்த படத்தை பெரிய வெற்றி அடைய செய்ய வேண்டும்",
C032895,Roman Telugu,Hate Speech,Sir ycp ki balle gunapam dimputunavu,
C032898,Tanglish,Offensive,"Oruthar mela neenga VISWASAM katrathukaga,yen mathavangala asinga paduthreenga",
C032902,Tamil,Offensive,இயக்குனர் ரன்ஜித் போன்ற ஜாதி வெறியனுக்கு இது ஒரு நல்ல செறுப்படி,
C032907,Tanglish,Offensive,enga thala da mass vj la mirya kuda podunga mudiyathu,
C032922,Tamil,Offensive,"யோவ் பாரின் சரக்கு அதிகம் அடிக்காதான்னு எத்தனை தடவையா சொல்லுறது, இப்பையும் அப்படியே வாந்தி எடுத்து வச்சி இருக்க",
C032928,Tanglish,Offensive,Inda padathukku peyar mathanumna enna veppinga🤔,
C032929,Tanglish,Offensive,"Aduthavanaga music permission vaangi use pannaalum, music composers ah impotent nu solluvanga Sila per.",
C032932,Roman Telugu,Hate Speech,Vadi modda guudu,
C032933,Tanglish,Offensive,Jayam ravi potta ghevidiya payan avan kamal rasigar,
C032935,Tanglish,Hate Speech,Arya ku Sayeshaa ku kalyanamey ayiduchudaa Will u marry me?,
C032940,Roman Telugu,Hate Speech,yippudu telustundi police lae buddhi ee ninditulanu police lu yemi chestaro minor ayethe yenti major ayethe yenti tappa tappe vaallaku shiksha padali,
C032950,Telugu,Hate Speech,మరి నువ్వు కాంగ్రెస్ నుండి వచ్చి ycp అని పెట్టుకున్నావుగా,
C032951,Tamil,Hate Speech,"More than 3M Views.. சும்மா இருந்த சங்கை ஊதி கெடுத்துட்டானுங்க கருப்பு சட்டையும், நீல சட்டையும். மிரட்டல் தொடரும்.... # திரௌபதி..",
C032955,Tanglish,Offensive,bomma madri irku pa..pls heroine ah worth ah podunga,
C032956,Tanglish,Offensive,Edhuku apromadhu nalla story ah choose panni nadinga market paathi poiruchi,
C032957,Tanglish,Offensive,43k haters enga da irundhu varinga,
C032959,Telugu,Hate Speech,​మా జగన్ రెడ్డికి హిందీ ఇంగ్లీషు రాదు,
C032960,Roman Telugu,Hate Speech,devudu anna padam chaalaa strong feeling confident nee istunda,
C032962,Kannada,Offensive,ನಿಮ್ಮ ಅಕ್ಕುನ್ ಒನ್ ನೈಟ್ ಕಲ್ಸು bgm,
C032966,Tanglish,Offensive,Ethrem nalla teaserinu dislike adichavarku ente naduviral namaskaram,
C032969,Telugu,Hate Speech,కడుపు నిండా తిండి కూడా తినా లేని జీవితానికి ఇన్ని కుట్రలు కుతంత్రా లు అవసరమా మనిషి మనిషిలా బ్రతకడం గొప్ప,
C032970,Roman Telugu,Hate Speech,telamgaanaa gurinchi modati gaa mantri padaviki rajinama chesina goppa manishi komatireddy,
C032975,Roman Telugu,Hate Speech,aem matladutunnaru raa naraalu cut aipoinay dayachesi show bandh cheyadam maelu,
C032979,Telugu,Hate Speech,ఈ అనిల్ గాడు జగన్ కోసం వాళ్ళ ఫ్యామిలీ కోసమే జనాలకి మాత్రం అన్యాయం జరిగితే పట్టించుకోరు అన్నమాట,
C032980,Roman Telugu,Hate Speech,raitu bandhu kaavaali conny 5 ekaraala lope unnollaki ivvali,
C032982,Kannada,Offensive,Moon ( ಚಂದ್ರ ) ಇಲ್ಲ ಅಂದ್ರೆ !!,
C032988,Tanglish,Offensive,Sunni like tha potrundha...but eppo viduvana,
C032990,Tanglish,Hate Speech,#thalaiva marana mass teaser #bangam ah iruku,
C032996,Roman Telugu,Hate Speech,megastar chiranjeevi garu appatiki ippatiki eppatikee legendary actor inn world,
