comment_id,language,category,comment,english_translation
C049140,Telugu,Hate Speech,KCR డైరెక్ట్ గా ప్రణబ్ ముఖర్జీ కాళ్లు మొక్కీ నప్పుడు ఏమైoది,
C049146,Tanglish,Offensive,Ayyo..alluthu.... Naan chinna vayasula epdi yosuchano adha apdiye patha maari irukku,
C049150,Tanglish,Offensive,Bigiil mokka padam .. kaithii awesome,
C049151,Tamil,Hate Speech,அடங்க மறு கும்பலை அறுக்க வருகிறாள் திரௌபதி.....,
C049165,Roman Telugu,Hate Speech,ori shankari neku party salary istundi kani maaku jobs istaledu raa,
C049174,Roman Telugu,Hate Speech,amarica andatho madam perigi kotukuntundi urikine,
C049176,Roman Telugu,Hate Speech,Mahanu baava ela kannavayya ee Basmasurani,
C049178,Telugu,Hate Speech,అబ్బ అబ్బ ఎం యాక్టింగ్ సూపర్ సినిమా లో నటిస్తే ఆస్కార్ గ్యారంటీ,
C049180,Tanglish,Offensive,It looks to me like the hindi movie Andhadhun..,
C049181,Tanglish,Offensive,Sema Mass ....POLI...... SURIYAVAUM ANTIINDIAN akitanga PA...,
C049183,Roman Telugu,Hate Speech,ilanti celebritylu ilah shosh kuu ravali sir,
C049184,Roman Telugu,Hate Speech,ee madhya meeredo ascar avaardu sinimaalu padutunnattu cheptunnarenti edho ataniki nacchi pattadu adhi janaalaku nachatledu marrow sinimaatho mundu vastaadu athani daggariki velli dhairyam cheppalsindi public loo tidatarenti saar,
C049190,Tanglish,Offensive,Podu thagida Petta Paraak Kola Gaandla irukan,
C049191,Telugu,Hate Speech,ఆంధ్రప్రదేశ్ ఇసుక మాఫియా డాన్ జగ్గు భాయ్.,
C049204,Kanglish,Hate Speech,Mangala grahake hogovrige a ashwathama eddhidhre antha gotthidhre avnanne kurskondu mahabharatha kathene poorthi aagi barskotha edhru aste yake mahabharatha nadedhitthanthe anno badhalu mahabaratha naddhidhu sathyane antha proof kuda madtha edhralwa,
C049205,Kanglish,Hate Speech,Kabja kannada samrajya nucchu noor madtade,
C049207,Tanglish,Hate Speech,Therke Devendrar vadake vanniyan iru samugathukum mannum ponnum onnu..yevan kai vachalum vettuthaan..,
C049208,Kannada,Hate Speech,ಚಳಿಗಾಲದಲ್ಲಿ ಹೆಂಡ್ತೀನ ಬಿಟ್ಟಂಗಾಗಿದೆ Tik tokers ಸ್ಥಿತಿ Like a ಹೀಟ್ ಗೆ ಬಂದಿರೋ ನಾಯಿ ತರ,
C049209,Tanglish,Offensive,manaketa anil pundainga en da dislike pannaringa un kjuy padam varuthula sethinga daw,
C049210,Tanglish,Offensive,Saho trailer 20 hrs le took more views. Nerkonda paarvai nakkitu poirchu.,
C049211,Tamil,Hate Speech,இது சராசரி படம் அல்ல. ஒற்றைச் சாதியை மட்டுமே அப்பாவிகளாக உயர்த்திக் காட்டி பிற சாதிகளை இழிவுபடுத்திய நாய்களுக்கு () இது ஒரு பாடமாக இருக்கும். அந்த நாய்கள் என்னென்ன திருட்டுத்தனங்களைச் செய்கின்றன என்ற உண்மையைக் காட்சிப்படுத்திய அண்ணன் மோகனுக்கு நெஞ்சார்ந்த நன்றிகள். இந்த படத்திற்கு அமோக வரவேற்பை வழங்கி வெற்றிபெற வைப்பது நம் கடமை . திரௌபதி தீயவர்களைத் தீயாய் சுடுவாள்.,
C049212,Tanglish,Offensive,"thalaivaaaaaaaa thalaivaaaaaaaa... thalaivaaaaaaaa.. thalaivaaaaaaaa... Super surya anna... who r keeping negative comments vijay nd ajith fans suck ur vijay, ajith dick... jai super star thalaiva surya anna from andhra fans... I can't control my tears .... surya Anna we love... jai thalaiva frm andhra fans",
C049214,Tanglish,Hate Speech,vedhalam teaser ah compare panrapa idhu elam pakame vara mudiyadhu...worst bhairava teaser,
C049215,Roman Telugu,Hate Speech,telugu rashtraalaki manchi manchi nayakulu dorikaaru sinimaalu vellanavasaram ledhu valle cinema chuupistaaru manchi kaalakshepam,
C049216,Roman Telugu,Hate Speech,Bro vaadi height entha bro.... sampu kante comedy ga vunadu ...,
C049218,Roman Telugu,Hate Speech,e 75kurma bharataswatantra desaniki nizamaina geept ichchavu anna nuvvu desamloni prathivaadu garvapadela vundi,
C049230,Tanglish,Offensive,Yellam ok Ore oru korai Trailer komjam munnadiye poturkalam,
C049233,Kannada,Offensive,Parthasarathi ಅಂತೂ ಒಪಿಕೊಂಡಲ್ಲ ದೊಡ್ಡ ಷಂಡ ಅಂತಾ,
C049234,Tanglish,Offensive,Kaithi verithanamlast dialogue ...saavuratha erunthalum sanda poittu saganum sir..bayanthu kala vilunthu saga kudathu,
C049236,Roman Telugu,Hate Speech,too bay frankly host kante chee chaala humble gaa react ayyaru real love hiss nature,
C049238,Roman Telugu,Hate Speech,one and onlee mega star potthi leruraleru,
C049239,Kannada,Hate Speech,ಸೂಪರ್ ಗುರು ಉಗಿರಿ ಟಿಕ್ ಟ್ಯಾಕ್ ಗೆ,
C049246,Kanglish,Offensive,Stupid Fans neenu Darshan ge huttirbeku adike avn bagge ne mathadthidiya nimman thulna keyya soole magane.nim amman thull ge kathe thunne sigaka hogi bale akolo aaa gaandu lucha thara,
C049255,Roman Telugu,Hate Speech,Super darling Nuvvu vachaka janamlo ooopu vachindhi,
C049257,Roman Telugu,Hate Speech,Waste fellow he did nothing for telengana,
C049261,Roman Telugu,Hate Speech,Nenu e stage raavadaniki Karanam e stage vesinollaa,
C049263,Tanglish,Offensive,indha bgm ah mattum ena pundaikku copy adichan indha ilayaraja 🤣.. oru vela aanama poirucho,
C049270,Roman Telugu,Hate Speech,Mundu.vacchinollu.peekipoyaru.eeyanocchi.peekuthadu,
C049273,Roman Telugu,Hate Speech,super bangaaram amma,
C049280,Roman Telugu,Hate Speech,ii veediyo chusina tarvaata ilanti manchi manushulu untara ani chaalaa santosham anipinchindi,
C049284,Kanglish,Offensive,Stupid Fans ley gaandu soole magane modlu ninnathra adu idiya antha nodkolo hodiyoke bandu hodsokondanthu hogthiya,
C049286,Telugu,Hate Speech,నువ్వు నిజమైన హీరోవి పవర్ స్టార్ లు మెగా స్టార్ లు తెరమీద మాత్రమే హీరోలు నిజజీవితంలో వాళ్ళు జీరోలు,
C049288,Tanglish,Offensive,Verithanam savuratha irundha sanda potu savanum ithaaaaa Kola mass,
C049295,Tanglish,Offensive,"Ithu 96 u, Yaara Yemathringa!!!!!!!!!1 Ultiiiiiiii",
C049300,Tamil,Offensive,திருமா என்ற குறுமக்கு சூப்பர் செருப்படி 🦍,
C049303,Tamil,Hate Speech,மகிழ்ச்சி. . வாழ்த்துக்கள் படம் மிகப் பெரிய அளவில் வெற்றி பெறும். கடைசி வசனம் அருமை. இன்னும் 16 வருடம் போனாலும் நான் அரசியலுக்கு வருவேன் தான் சொல்லுவான். ஆனால் இப்போது எல்லாம் வர மாட்டார். வரவும் வேண்டாம்.,
C049304,Telugu,Hate Speech,సాక్షి ఎప్పుడు కరెక్ట్ రాసింది అది ఎప్పుడు తప్పే రాస్తుంది,
C049309,Roman Telugu,Hate Speech,argievy tho vaaka interview plan chestunava nuvu kuudaa,
C049310,Tamil,Offensive,எல்லாம் ok but தளபதி விஜய் சீன்ல சிரிச்சது எனக்கு புடிக்கல,
C049314,Tanglish,Offensive,Yov vera level la yeduthurkingayaThat kizhinji pona jeans,
C049315,Tanglish,Offensive,Thala haters lam orama poi kathurunga da pundaikala,
C049320,Roman Telugu,Hate Speech,neenu chusina vaelaadi funny veediyolallane top 1 lady action veediyo idhi ammai action super,
C049323,Kanglish,Hate Speech,Don't Post FAKE videos,
C049331,Tanglish,Offensive,mokka bhairava teaser ela but naa suriya fan taan,
C049342,Roman Telugu,Hate Speech,meeru famous aipoyaru akka,
C049345,Roman Telugu,Hate Speech,"Andhuke dhula Baga thirindhi ,annaaaa",
C049346,Tanglish,Offensive,"Thala fans , views ean slow ah irukudhu ? Orivelai counting agama irukka ? Enna kaaranam ?",
C049350,Tanglish,Offensive,Petta parak rajinians mattum ulla iru mathavanlam odi poidu vantha thangamatta,
C049351,Tamil,Hate Speech,Vani fans like panunga Rithika fans like panunga இந்த கம்மெண்ட போட்டே பிச்சை எடுக்குறானுங்க,
C049353,Roman Telugu,Hate Speech,tara bhai joginder oka chinal chutiye manishi paniki malina vadu,
C049357,Tanglish,Offensive,Enda nala name ipdi veenaku reemga kadaramkondan enapathu evlo Periya maveeranoda name fuck,
C049358,Telugu,Hate Speech,వరిని యాచించని జీవితం ఆయాసం లేని మరణం మరణం తరువాత నీలో ఐక్యం కావాలి అని అష్ట దిగ్గజాలు లో ఒకరు ఐన ధూర్జటి కవి చెప్పారు అదృష్ట వంతుడు,
C049359,Kanglish,Offensive,Prithvi swalpa otte kadme maadkoli ...you look good as well you need it as an actor...,
C049362,Kanglish,Offensive,Kharabbu Pogaru song Like - 317K,
C049364,Roman Telugu,Hate Speech,Ellati guruvu kanni boka lo aiyali,
C049382,Telugu,Hate Speech,డబుల్ మీనింగ్ లేకుండా దమ్ముంటే కామెడీ చేసి చూపించండి రా,
C049386,Tanglish,Hate Speech,"Mannuku dha manushan mela eppayume urimai undu ellam poradhu anga dha poganum,adhu vara evlo aada mudiyumo aadunga da,nilam engal urimainu loosu maari pesinu ida othikidu vaanguringa,reserved seats la poringa naanga daily adipattu midhi pattu suthikitu irrukanum,unga ista pundaiku padam edukradhu kaala,kabali,mairunu meedhi irrukura general category veral soopuradha,padathula enna solla varanunganu theriyama loosu comment box la olaradhinga",
