comment_id,language,category,comment,english_translation
C054610,Roman Telugu,Offensive,"By the way, Ilanti vallani chuste jaali kuda veyadu ??","by the way, seeing people like this doesn't even evoke pity"
C054611,Roman Telugu,Hate Speech,"Urike cheptunna, Ilanti vallani seriously-ga theesukovalsina avasarame ledu Idi final. smh","just saying, there's no need to take people like this seriously at all this is final."
C054613,Telugu,Hate Speech,"ఏయ్, ఫెమినిస్టులు వల్లే సమాజం పాడైపోతుంది గుర్తు పెట్టుకో. !!!","hey, feminists are ruining society remember this."
C054615,Roman Telugu,Offensive,"By the way, Dini kante better content ekkadaina dorukutundi Gurthu pettuko. 😡","by the way, you can find better content anywhere than this remember this."
C054616,Roman Telugu,Offensive,"Chudu, Evadu adigadu nee opinion Nijanga. 🙄","look, who asked for your opinion really."
C054617,Roman Telugu,Offensive,"Hey, Nuvvu maatladeముందు kaastha aalochinchu Nijanga. ...","hey, think a little before you speak really."
C054619,Telugu,Offensive,"ఇలా చూడు, దీని కంటే బెటర్ కంటెంట్ ఎక్కడైనా దొరుకుతుంది అంతే.","see here, you can find better content anywhere than this that's it."
C054621,Telugu,Hate Speech,"బై ద వే, ఆడవాళ్ళకి బుద్ధి ఉండదు అందుకే ఇలా పోస్ట్ చేస్తారు అంతే. 😔","by the way, women have no sense, that's why they post like this that's it."
C054629,Roman Telugu,Offensive,"Mava, Em buddhi lekunda maatladatav nuvvu Gurthu pettuko. 🙄","bro, you talk with absolutely no sense remember this."
C054631,Roman Telugu,Hate Speech,"Nijam cheppalante, Ilanti content pettevallu andaru oke rakam #WomenSafety","honestly, everyone who posts content like this is the same kind"
C054634,Roman Telugu,Offensive,"Chudu, Nee comments chadivithe thalanoppi vastundi Idi final. 🔥","look, reading your comments gives me a headache this is final."
C054639,Roman Telugu,Offensive,"Urike cheptunna, Em buddhi lekunda maatladatav nuvvu Idi nijam. 🙄","just saying, you talk with absolutely no sense this is true."
C054643,Telugu,Offensive,"బై ద వే, నీ లెవెల్ చూస్తే జాలిగా ఉంది 😔","by the way, seeing your level is honestly pitiful"
C054646,Telugu,Hate Speech,"ఇలా చూడు, ఇలాంటి ఆడవాళ్ళే అసలు సమస్యలకి కారణం ...","see here, women like these are the real cause of problems"
C054648,Telugu,Offensive,"నిజం చెప్పాలంటే, దీని కంటే బెటర్ కంటెంట్ ఎక్కడైనా దొరుకుతుంది గుర్తు పెట్టుకో. ...","honestly, you can find better content anywhere than this remember this."
C054650,Telugu,Offensive,"నిజం చెప్పాలంటే, నువ్వు మాట్లాడేముందు కాస్త ఆలోచించు సీరియస్‌గా. ??","honestly, think a little before you speak seriously."
C054654,Roman Telugu,Hate Speech,Ilanti adavalla valle magavallu badhapadedi Idi nijam. 🙄,it's because of women like these that men suffer this is true.
C054655,Roman Telugu,Hate Speech,"Nijam cheppalante, Adavalla maatalu eppudu nammakudadu asalu Ok na? 😔","honestly, you should never trust what women say ok?"
C054662,Roman Telugu,Offensive,"Urike cheptunna, Enduku antha negative-ga untav eppudu Nammu nannu. 😔","just saying, why are you always so negative trust me."
C054664,Telugu,Offensive,"విను, నీ కామెంట్లు చదివితే తలనొప్పి వస్తుంది అంతే. ??","listen, reading your comments gives me a headache that's it."
C054665,Telugu,Hate Speech,"ఊరికే చెప్తున్నా, ఆడవాళ్ళ మాటలు ఎప్పుడూ నమ్మకూడదు అసలు సీరియస్‌గా. 🔥","just saying, you should never trust what women say seriously."
C054667,Roman Telugu,Hate Speech,"Ila chudu, Adavallaki net access ivvadame pedda tappu Nammu nannu. smh","see here, giving women internet access itself was a big mistake trust me."
C054669,Telugu,Offensive,"ఊరికే చెప్తున్నా, ఇంత చెత్త వీడియో ఎప్పుడూ చూడలేదు నమ్ము నన్ను. 🔥","just saying, never seen such a trash video trust me."
C054672,Telugu,Hate Speech,"నిజం చెప్పాలంటే, ఆడవాళ్ళకి సొంత ఒపీనియన్ ఉండదు, ఎవరో చెప్పింది వాడతారు సీరియస్‌గా.","honestly, women don't have their own opinions, they just repeat what someone told them seriously."
C054676,Roman Telugu,Offensive,Nee level chuste jaaliga undi Seriously-ga. 😢,seeing your level is honestly pitiful seriously.
C054683,Roman Telugu,Offensive,"Vinu, Nuvvu maatladedi eppudu artham lekunda untundi Nijanga. 😔","listen, what you say never makes any sense really."
C054685,Roman Telugu,Offensive,"Okka maata, Neelanti vallu valle social media padaipoyindi Gurthu pettuko. 😤","one thing, people like you have ruined social media remember this."
C054689,Roman Telugu,Offensive,"Mava, Neelanti vallu valle social media padaipoyindi Anthe. 🙄","bro, people like you have ruined social media that's it."
C054690,Telugu,Offensive,"ఊరికే చెప్తున్నా, నువ్వు మాట్లాడేది ఎప్పుడూ అర్థం లేకుండా ఉంటుంది గుర్తు పెట్టుకో. 😢","just saying, what you say never makes any sense remember this."
C054696,Telugu,Offensive,"బై ద వే, ఎందుకు అంత నెగెటివ్‌గా ఉంటావ్ ఎప్పుడూ గుర్తు పెట్టుకో. !!!","by the way, why are you always so negative remember this."
C054698,Telugu,Offensive,"చూడు, ఇలాంటి వాళ్ళని చూస్తే జాలి కూడా వేయదు నిజంగా. 😤","look, seeing people like this doesn't even evoke pity really."
C054699,Roman Telugu,Hate Speech,"Vinu, Vallaki eppudu edo oka complaint untundi anthe smh","listen, they always have some complaint or the other, that's it"
C054701,Roman Telugu,Offensive,"Okka maata, Diniki emaina artham unda, waste of time smh","one thing, does this even make sense, total waste of time"
C054705,Telugu,Hate Speech,"విను, వీళ్ళందరూ ఒక్కటే, అటెన్షన్ కోసమే ఇదంతా చేస్తారు ఇది ఫైనల్.","listen, they're all the same, doing all this just for attention this is final."
C054706,Roman Telugu,Hate Speech,Ilanti adavalle asalu samasyalaki karanam Seriously-ga. !!!,women like these are the real cause of problems seriously.
C054708,Roman Telugu,Hate Speech,"Nijam cheppalante, Adavallu intlo undali, online-ki ravaddu Idi nijam. 🙄","honestly, women should stay home, not come online this is true."
C054717,Telugu,Offensive,"చూడు, ఎందుకు అంత నెగెటివ్‌గా ఉంటావ్ ఎప్పుడూ ఓకే నా? ??","look, why are you always so negative ok?"
C054724,Roman Telugu,Offensive,"Mava, Ilanti vallani chuste jaali kuda veyadu Idi final. 😔","bro, seeing people like this doesn't even evoke pity this is final."
C054726,Roman Telugu,Hate Speech,"Okka maata, Adavallaki sontha opinion undadu, evaro cheppindi vaadataru Idi nijam. 😢","one thing, women don't have their own opinions, they just repeat what someone told them this is true."
C054743,Telugu,Hate Speech,"ఒక్క మాట, ఆడవాళ్ళకి బుద్ధి ఉండదు అందుకే ఇలా పోస్ట్ చేస్తారు సీరియస్‌గా. 😔","one thing, women have no sense, that's why they post like this seriously."
C054748,Telugu,Hate Speech,"చూడు, ఆడవాళ్ళ మాటలు ఎప్పుడూ నమ్మకూడదు అసలు అర్థమైందా?","look, you should never trust what women say got it?"
C054750,Telugu,Hate Speech,ఇలాంటి ఆడవాళ్ళ వల్లే మగవాళ్ళు బాధపడేది అర్థమైందా?,it's because of women like these that men suffer got it?
C054751,Telugu,Hate Speech,"నిజం చెప్పాలంటే, ఇలాంటి కంటెంట్ పెట్టేవాళ్ళు అందరూ ఒకే రకం సీరియస్‌గా. 🔥","honestly, everyone who posts content like this is the same kind seriously."
C054755,Telugu,Offensive,నువ్వు మాట్లాడేముందు కాస్త ఆలోచించు నమ్ము నన్ను. 😡,think a little before you speak trust me.
C054756,Roman Telugu,Offensive,"Nijam cheppalante, Idi chusi navvalo edavalo artham kavatledu Nammu nannu.","honestly, don't know whether to laugh or cry seeing this trust me."
C054763,Telugu,Hate Speech,"ఏయ్, ఆడవాళ్ళకి సొంత ఒపీనియన్ ఉండదు, ఎవరో చెప్పింది వాడతారు అర్థమైందా? 😔","hey, women don't have their own opinions, they just repeat what someone told them got it?"
C054772,Roman Telugu,Hate Speech,"Mava, Vallaki eppudu edo oka complaint untundi anthe Arthamaindha?","bro, they always have some complaint or the other, that's it got it?"
C054773,Roman Telugu,Hate Speech,"Okka maata, Adavallaki buddhi undadu anduke ila post chestaru ??","one thing, women have no sense, that's why they post like this"
C054774,Telugu,Offensive,"ఇలా చూడు, నీ లెవెల్ చూస్తే జాలిగా ఉంది 😔","see here, seeing your level is honestly pitiful"
C054776,Telugu,Offensive,"ఏయ్, నీ కామెంట్లు చదివితే తలనొప్పి వస్తుంది ఇది ఫైనల్. 😡","hey, reading your comments gives me a headache this is final."
C054784,Roman Telugu,Offensive,"Hey, Ilanti chettha aalochanalu ekkada nerchukunnav Seriously-ga. 😤","hey, where did you learn such trashy thinking seriously."
C054786,Telugu,Hate Speech,"ఏయ్, వీళ్ళు అందరూ ఒకటే గ్రూప్‌లో ఉంటారు, నమ్మడానికి లేదు నమ్ము నన్ను. !!!","hey, they're all part of the same group, can't be trusted trust me."
C054788,Telugu,Hate Speech,"ఒక్క మాట, వీళ్ళందరూ చేసేది కేవలం డ్రామానే గుర్తు పెట్టుకో. !!!","one thing, all they do is drama remember this."
C054789,Telugu,Hate Speech,ఇలాంటి కంటెంట్ పెట్టేవాళ్ళు అందరూ ఒకే రకం అంతే. 😤,everyone who posts content like this is the same kind that's it.
C054795,Telugu,Hate Speech,"బై ద వే, ఇలాంటి వాళ్ళని సీరియస్‌గా తీసుకోవాల్సిన అవసరమే లేదు ఇది నిజం. 🙄","by the way, there's no need to take people like this seriously at all this is true."
