comment_id,language,category,comment,english_translation
C060066,Telugu,Offensive,"ఇలా చూడు, ఇలాంటి చెత్త ఆలోచనలు ఎక్కడ నేర్చుకున్నావ్ 😢","see here, where did you learn such trashy thinking"
C060067,Roman Telugu,Hate Speech,Vellandaru chesedi kevalam drama-ne,all they do is drama
C060070,Telugu,Offensive,"చూడు, దీని కంటే బెటర్ కంటెంట్ ఎక్కడైనా దొరుకుతుంది ఇది ఫైనల్. 🙄","look, you can find better content anywhere than this this is final."
C060076,Roman Telugu,Hate Speech,"Chudu, Vellandaru chesedi kevalam drama-ne Ok na? !!!","look, all they do is drama ok?"
C060087,Roman Telugu,Offensive,Idi chusi navvalo edavalo artham kavatledu Gurthu pettuko. !!!,don't know whether to laugh or cry seeing this remember this.
C060091,Roman Telugu,Hate Speech,Ilanti adavalla valle magavallu badhapadedi Nijanga. ...,it's because of women like these that men suffer really.
C060093,Telugu,Hate Speech,"విను, ఆడవాళ్ళకి సొంత ఒపీనియన్ ఉండదు, ఎవరో చెప్పింది వాడతారు అంతే. !!!","listen, women don't have their own opinions, they just repeat what someone told them that's it."
C060109,Roman Telugu,Offensive,"By the way, Neelanti vallaki attention ivvakudadu asalu Gurthu pettuko. !!!","by the way, people like you shouldn't be given any attention at all remember this."
C060117,Telugu,Offensive,"మావా, దీని కంటే బెటర్ కంటెంట్ ఎక్కడైనా దొరుకుతుంది అర్థమైందా? 🙄","bro, you can find better content anywhere than this got it?"
C060122,Telugu,Offensive,"ఊరికే చెప్తున్నా, నువ్వు మాట్లాడేది ఎప్పుడూ అర్థం లేకుండా ఉంటుంది గుర్తు పెట్టుకో. 😤","just saying, what you say never makes any sense remember this."
C060124,Telugu,Hate Speech,"బై ద వే, ఇలాంటి వాళ్ళని సీరియస్‌గా తీసుకోవాల్సిన అవసరమే లేదు ఓకే నా? 😡","by the way, there's no need to take people like this seriously at all ok?"
C060127,Roman Telugu,Offensive,Evadu adigadu nee opinion Idi final. 😤,who asked for your opinion this is final.
C060131,Telugu,Offensive,"ఏయ్, నీలాంటి వాళ్ళు వల్లే సోషల్ మీడియా పాడైపోయింది గుర్తు పెట్టుకో. ...","hey, people like you have ruined social media remember this."
C060132,Roman Telugu,Hate Speech,"Urike cheptunna, Ilanti adavalla valle magavallu badhapadedi Nammu nannu. ??","just saying, it's because of women like these that men suffer trust me."
C060136,Telugu,Hate Speech,"నిజం చెప్పాలంటే, వీళ్ళకి ఎప్పుడూ విక్టిమ్ కార్డ్ ప్లే చేయడమే తెలుసు అర్థమైందా? 🔥","honestly, they only know how to play the victim card all the time got it?"
C060138,Roman Telugu,Hate Speech,"Hey, Vallaki eppudu edo oka complaint untundi anthe Idi nijam. smh","hey, they always have some complaint or the other, that's it this is true."
C060142,Roman Telugu,Hate Speech,"Ila chudu, Adavallaki nijanga samanatvam akkarledu, prathyeka sadupayale kavali Nijanga.","see here, women don't really want equality, they just want special treatment really."
C060144,Roman Telugu,Offensive,"Okka maata, Neeku burra ledha ila maatladatavu Arthamaindha? #WomenSafety","one thing, have you lost your mind, talking like this got it?"
C060161,Roman Telugu,Offensive,"Vinu, Neeku burra ledha ila maatladatavu Ok na?","listen, have you lost your mind, talking like this ok?"
C060171,Telugu,Hate Speech,"విను, ఇలాంటి వాళ్ళని సీరియస్‌గా తీసుకోవాల్సిన అవసరమే లేదు అర్థమైందా? 🔥","listen, there's no need to take people like this seriously at all got it?"
C060176,Roman Telugu,Hate Speech,"Vinu, Adavallu intlo undali, online-ki ravaddu Nijanga.","listen, women should stay home, not come online really."
C060179,Roman Telugu,Offensive,"Hey, Enduku antha negative-ga untav eppudu Arthamaindha? 😤","hey, why are you always so negative got it?"
C060180,Roman Telugu,Hate Speech,"Adavallaki nijanga samanatvam akkarledu, prathyeka sadupayale kavali ??","women don't really want equality, they just want special treatment"
C060182,Roman Telugu,Hate Speech,"Mava, Ilanti adavalla valle magavallu badhapadedi Anthe. #WomenSafety","bro, it's because of women like these that men suffer that's it."
C060183,Telugu,Hate Speech,"నిజం చెప్పాలంటే, ఫెమినిస్టులు వల్లే సమాజం పాడైపోతుంది అంతే. 😔","honestly, feminists are ruining society that's it."
C060189,Roman Telugu,Offensive,"Mava, Ilanti postulu petteముందు common sense vaadu Idi nijam. 🙄","bro, use some common sense before posting things like this this is true."
C060195,Roman Telugu,Hate Speech,"Vinu, Ilanti adavalle asalu samasyalaki karanam Seriously-ga. 😤","listen, women like these are the real cause of problems seriously."
C060199,Roman Telugu,Offensive,"By the way, Ilanti postulu petteముందు common sense vaadu Gurthu pettuko. 🔥","by the way, use some common sense before posting things like this remember this."
