comment_id,language,category,comment,english_translation
C038284,Roman Telugu,Hate Speech,idedo jalim lotion,
C038286,Roman Telugu,Hate Speech,Mari aa sangathi thelisi antha madham yendhukura niku.... Vaaru garu antunnaav....gnanodhayamyndhi koddhiga....,
C038288,Tanglish,Offensive,Entha piano music ka yerkanave ketruken....enga veetula eruka musicbox la entha music than varum,
C038289,Tanglish,Offensive,Yar yar laam entha trailer ah pathona Hans Zimmer music keta mari eruku nu nanchega,
C038292,Roman Telugu,Hate Speech,ilanti avamanalu chiru nee megastar gaa nilabettayi hay is our inspiration love you chiru,
C038294,Telugu,Hate Speech,మీ అయ్య కూడా అదే గతి పడుతుంది,
C038312,Tanglish,Hate Speech,kaappan illa ithu oppaaaaaaaaaaan..mokkaya graphics panni rukkanunga low budget la eduthrupaanungalo,
C038316,Roman Telugu,Hate Speech,Dhinni evadu ra judge chesindi..asalu..manchi matale Ravu dhiniki,
C038322,Telugu,Hate Speech,చంద్రబాబు శివుడు లాంటి వాడు విషాన్ని కూడా తనలోకి తీసుకుంటాడుఇక ఇలాంటివి ఒక లెక్కే కాదు,
C038325,Telugu,Hate Speech,అంటే జగన్ కు భయపడుతూనే ఉంటారు,
C038327,Tamil,Hate Speech,0:33 ங்கோத்தா சில பரதேசி பசங்களுக்கு பாத்ததும் வாயில செருப்ப கவ்வ கொடுத்து அடிச்ச மாதிரி இருக்கும்..,
C038336,Tanglish,Offensive,Semma bigilugu kojam prblm vatrum poola,
C038338,Tanglish,Offensive,kotha baadu dlike pottavanunga nai poola narukkunu oompunga daaaaa,
C038339,Tanglish,Offensive,Phone use panra ovvoruthanum kola kaarunungathan...,
C038344,Roman Telugu,Hate Speech,manchu kutumbam telugu prajaki devudu icchina goppa varantappadu bharinchalsinde0,
C038346,Tanglish,Offensive,Endhira logathu sundariye video song kettu vanthu trailer partha vanga like podunga,
C038355,Tamil,Offensive,வன்னியர் வீட்டு பொன்ன எவன் கூட்டிட்டு poanaanu தெரியலையே,
C038356,Tanglish,Offensive,Vaitherichalaa! Dislike pottu manasa thethikonga! Thalaivar kaal negatha kooda neenga thoda mudiyaathu! Poi moodikittu paduthurunga!,
C038385,Tamil,Offensive,ஒரே ஒரு Trailorதா ... கெழவனோட Total அரசியல் image Close..!!,
C038388,Tanglish,Offensive,ennaikku neriya peru kitta illatha oru ketta palazhum en kitta erukku ajith fanzz okkurathu thalapathy fanz than masss,
C038395,Telugu,Hate Speech,Ap ప్రజలు పెంట తింటున్నారు కాబట్టి ఇలాంటి నాయకులని భరిస్తున్నారు,
C038400,Telugu,Hate Speech,రోజా అనేది మనిషి కాదు అది వేస్ట్,
C038401,Tanglish,Offensive,Kaappan nu solitu ellathaiym aalikuran,
C038406,Roman Telugu,Hate Speech,ee cinema pedda vijayam saadinchaali anee manasupuurtigaa korukuntunnamu,
C038408,Tanglish,Offensive,Big spoiler in munji kazhuvadha heroine,
C038414,Telugu,Hate Speech,దేవీ దేవతలను కూడా అన్నప్పుడు రియాక్ట్ ఎందుకు కాలేదు ఖాన్ఎందుకు దేవుళ్లను ఇలా కించపరుచుకుంటున్నారు,
