comment_id,verdict,corrected_category,reason
C027375,Wrong,Offensive,"Curses him to die, personal insult not group hate"
C027376,Correct,,"Vulgar curse at individual, not group hate"
C027377,Wrong,Safe,"Mocking comment about poster imbalance, not hate"
C027382,Wrong,Safe,Neutral movie recommendation comment
C027391,Wrong,Safe,"Movie content critique, no personal insult"
C027392,Correct,,Harsh contemptuous criticism of BGM/crew
C027396,Correct,,Vulgar insult about someone's mother
C027399,Wrong,Safe,"Critical opinion about actor's overacting, not hate"
C027400,Wrong,Sexual Harassment,Sexualized remark about a girl's waist
C027401,Correct,,"Vulgar insult, not group-targeted"
C027408,Wrong,Safe,"Political criticism about AP state, not hate"
C027414,Correct,,Fan war trash talk/mockery
C027422,Wrong,Safe,"Comment about movie violence and piracy site, no hate"
C027425,Correct,,Vulgar personal insult
C027427,Correct,,Mild derogatory fan-war insult at dislikers
C027430,Correct,,Fan war trash talk at haters
C027432,Wrong,Safe,"Political mockery/comparison, not vulgar"
C027439,Correct,,Repeated 'clown' insult at director/politician
C027440,Correct,,Vulgar word used mocking movie
C027445,Wrong,Hate Speech,Blames Islamic community collectively with inflammatory rhetoric
C027458,Correct,,Fan war insult between fanbases
C027459,Wrong,Offensive,"Vulgar personal insult about career, not group hate"
C027465,Wrong,Safe,Joking statutory warning about song
C027470,Wrong,Offensive,"Calls them thieves' sons, personal insult not group hate"
C027472,Wrong,Safe,Neutral observation about dislikes
C027474,Wrong,Safe,Casual question about release date
C027475,Wrong,Safe,"Opinion about corporate filmmakers, not hate"
C027480,Wrong,Safe,"Social criticism about exploitation, not hate"
C027481,Wrong,Offensive,Insulting appearance comparison at individual actress
C027484,Wrong,Safe,Neutral appearance comparison
C027488,Correct,,"Vulgar personal insult, not group hate"
C027499,Wrong,Safe,"Negative movie opinion, not vulgar"
C027506,Wrong,Safe,"Abstract political/cultural opinion, no hate"
C027508,Unsure,,"Vague meaning, unclear intent"
C027510,Wrong,Safe,"Criticism about movie's portrayal of workers, not hate"
C027513,Wrong,Safe,"Comment criticizing fan wars, not itself offensive"
C027515,Wrong,Safe,"Negative trailer opinion, not vulgar"
C027523,Wrong,Offensive,"Fan war insult using vulgar term, not group hate"
C027538,Wrong,Safe,"Opinion disagreeing with a comparison, not hate"
C027541,Correct,,"Dehumanizing insult at director, personal not group"
C027553,Wrong,Safe,Neutral remark about dislikes
C027554,Wrong,Safe,"Positive fan praise, no hate"
C027556,Wrong,Safe,"Fan praise for actors, no hate"
C027558,Wrong,Safe,"Mild complaint about dislikes, not vulgar"
C027560,Wrong,Offensive,"Nationalistic rant with rude interjection, not covered group hate"
C027561,Correct,,Mocking insult telling actor to retire
C027563,Correct,,"Mocking comedian repeatedly, personal insult"
C027566,Wrong,Safe,"Philosophical statement, no hate"
C027569,Wrong,Safe,"Critiques movie's sexism, not hateful itself"
C027570,Wrong,Safe,Neutral question about views
C027571,Wrong,Safe,"Positive well-wish, no hate"
C027575,Wrong,Safe,"Fan comment about scene, not offensive"
C027577,Wrong,Safe,"Praise for APJ Abdul Kalam, no hate"
C027589,Wrong,Safe,Enthusiastic fan hype comment
C027590,Wrong,Safe,"Political criticism about MLA land wealth, not hate"
C027598,Wrong,Safe,Neutral movie opinion
C027600,Wrong,Sexual Harassment,Requesting a girl's contact number
