comment_id,verdict,corrected_category,reason
C010873,Wrong,Safe,Compliment about vlogging content
C010874,Wrong,Safe,Fan question about trending status
C010879,Wrong,Safe,Neutral movie description
C010882,Correct,,Vulgar personal insult at fans not group hate
C010888,Wrong,Safe,Neutral fan banter about trailer
C010896,Wrong,Safe,Movie quality criticism
C010899,Wrong,Safe,Neutral phrase referencing political fan group
C010902,Correct,,Caste-name used as personal insult
C010906,Wrong,Safe,Crude but positive praise of actors not an insult
C010913,Wrong,Safe,Praise of actor's talent
C010914,Wrong,Safe,Compliment about person's humility
C010915,Wrong,Safe,Sarcastic joke about movie theatre experience
C010916,Wrong,Safe,"Garbled fan comment, no hate content"
C010920,Wrong,Safe,"Political corruption jab, not hate speech"
C010928,Wrong,Safe,"Movie criticism, calling it a flop"
C010929,Wrong,Safe,Neutral VFX criticism
C010936,Wrong,Safe,"Joking comment about movie, no real insult"
C010937,Correct,,Vulgar insult directed at named individual
C010943,Wrong,Safe,Opinion distinguishing actor from politician
C010945,Wrong,Sexual Harassment,Sexualized body comparison of named person
C010950,Correct,,"Insult telling dislikers to leave, not group hate"
C010953,Wrong,Threat,Explicit call to bomb a group
C010965,Correct,,"Mocking insult about wig, individual target"
C010966,Wrong,Safe,Neutral observation about events
C010967,Wrong,Safe,Well-wishing comment
C010973,Wrong,Safe,Praise for hard work on song
C010977,Wrong,Offensive,"Vulgar rant about industry figures, not group hate"
C010979,Correct,,Vulgar insult calling makers dogs
C010981,Unsure,,"Garbled text, meaning unclear"
C010986,Wrong,Safe,Neutral comment about TV episode
C010987,Correct,,"Vulgar insult at thief, individual target"
C010996,Wrong,Safe,Praise for simplicity
C011006,Correct,,"Insult at director, not group hate"
C011011,Wrong,Safe,Neutral question about teaser cast
C011015,Wrong,Safe,"Political wish for change, no hate"
C011018,Wrong,Safe,Fan comment anticipating release
C011023,Wrong,Safe,Vague neutral reference to college batch
C011026,Wrong,Safe,"Criticism of fan rivalry behavior, not vulgar"
C011027,Unsure,,"Garbled phrase, unclear intent"
C011033,Wrong,Safe,"Sarcastic political remark, no hate"
C011036,Wrong,Safe,Movie criticism about star's mass appeal
C011040,Wrong,Safe,"Casual comment, no hate"
C011044,Wrong,Safe,"Mild personal remark, not hateful"
C011048,Wrong,Safe,Empathetic reality show comment
C011058,Wrong,Safe,Casual unclear remark
C011059,Wrong,Safe,"Casual exclamation, no hate"
C011060,Wrong,Safe,Fan speculation about dislikers
C011061,Wrong,Safe,Political speculation comment
C011062,Wrong,Safe,Mild criticism of judge selection
C011071,Correct,,Crude mocking joke at individual
C011082,Wrong,Offensive,"Political hostility, not group-identity-based hate"
C011083,Unsure,,"Garbled repeated words, unclear"
C011086,Wrong,Safe,Harsh but neutral movie criticism
C011091,Wrong,Safe,Fan banter comparing releases
C011092,Wrong,Safe,Mild scolding about volunteer meaning
C011093,Wrong,Safe,Fan complaint about dislikes
C011099,Wrong,Safe,Neutral question about certification inconsistency
C011105,Wrong,Safe,"Casual scolding, no real insult"
C011108,Wrong,Safe,Political opinion comparing actors' stances
C011111,Wrong,Safe,Praise for logical explanation
C011118,Wrong,Safe,Neutral comment about song popularity
C011120,Wrong,Safe,"Comment about hairstyle, no real insult"
C011121,Wrong,Safe,Casual banter among friends about college
C011138,Unsure,,Unclear slang reference
C011143,Wrong,Safe,Neutral question about production house
C011166,Wrong,Safe,Neutral question about casting
C011167,Wrong,Safe,Neutral reality show pairing comment
C011169,Unsure,,Ambiguous sarcastic political comment mentioning killing
C011171,Wrong,Safe,Rhetorical philosophical question
C011172,Wrong,Safe,Casual unclear comment about college
C011175,Unsure,,"Vague movie-related remark, unclear"
C011195,Wrong,Safe,Metaphorical fan hype comment
C011200,Wrong,Safe,Neutral comment about short film
C011209,Wrong,Safe,Neutral observation about views vs likes
C011210,Wrong,Safe,Mild fan loyalty comment
C011219,Wrong,Safe,Neutral question about video content
C011224,Wrong,Safe,Mild disappointment about remake
C011239,Wrong,Safe,Civic message encouraging informed voting
C011242,Wrong,Safe,Praise for politician
C011245,Correct,,Vulgar insult at dislikers
C011248,Wrong,Offensive,"Insult at a politician, not group-targeted"
C011250,Unsure,,"Unclear slang mocking, meaning unclear"
C011251,Wrong,Safe,Mild complaint about short film choice
C011252,Wrong,Safe,Neutral movie comparison
C011253,Wrong,Safe,"Budget/VFX criticism, not vulgar insult"
C011254,Wrong,Safe,Praise for song quality
C011267,Wrong,Offensive,"Vulgar exclamation, not group hate"
C011273,Wrong,Threat,Explicit call to violently attack a group
C011276,Wrong,Safe,Neutral comment about film reception
C011279,Wrong,Safe,Unclear mild remark
C011282,Wrong,Safe,"Political criticism of politicians, not hate"
C011288,Wrong,Safe,Neutral movie dialogue comment
C011289,Correct,,Vulgar sexualized personal insult
C011290,Wrong,Safe,Neutral supportive comment about family
C011291,Wrong,Safe,"Sarcastic political comment, not hateful"
C011295,Wrong,Safe,Neutral movie criticism
C011299,Wrong,Safe,"Sarcastic remark about a person's judgement, not vulgar"
C011300,Correct,,Caste-based hostile rhetoric
C011309,Wrong,Safe,Joking comment about movie title
C011311,Wrong,Safe,"Casual vulgar exclamation, no target"
C011318,Wrong,Safe,Praise for a good person
C011324,Correct,,Vulgar insult at individual
C011325,Wrong,Safe,Praise for family member
C011328,Correct,,Mocking insult about actor's scene
C011332,Wrong,Safe,Fan preference for different movie style
C011335,Wrong,Safe,"Fan dialogue quote, no hate"
C011336,Wrong,Safe,Neutral VFX criticism
C011339,Wrong,Safe,Neutral comment about film promotion
C011343,Wrong,Safe,"Movie quality criticism, no hate"
C011344,Wrong,Safe,Comment contrasting movie content with actor's respectful behavior
C011348,Wrong,Safe,Neutral question about trending
C011350,Unsure,,"Unclear regional reference, meaning vague"
C011353,Wrong,Safe,Neutral movie release comparison
C011356,Correct,,Vulgar insult at group over political stance
C011359,Wrong,Safe,"Metaphorical praise, no hate"
C011374,Wrong,Safe,Metaphorical criticism of repetitive movies
C011376,Wrong,Safe,Neutral comment about music similarity
C011380,Wrong,Safe,"Political warning statement, not group hate"
C011381,Wrong,Safe,Unclear request for respect for elders
C011382,Wrong,Safe,Unclear neutral movie comment
C011383,Wrong,Safe,Sarcastic political comment about votes
C011386,Wrong,Safe,Wordplay comparing movie titles
C011387,Wrong,Offensive,"Insulting implication about someone's background, not group hate"
C011390,Wrong,Threat,Threatens beating someone
C011397,Wrong,Safe,Political movie criticism
C011398,Correct,,Vulgar personal insult
C011400,Unsure,,"Garbled text, meaning unclear"
C011401,Wrong,Offensive,"Accusatory gossip about individual's behavior, not hate speech"
C011405,Wrong,Offensive,"Vulgar personal insult about her acting, not group hate"
C011408,Wrong,Safe,Social opinion about trust and progress
C011422,Wrong,Safe,"Political opinion, no hate"
C011427,Wrong,Safe,Praise for correct statement
C011434,Wrong,Safe,Joking fan banter mocking rival fans
C011439,Wrong,Offensive,"Insult at individual politician, not group hate"
C011440,Wrong,Safe,Sarcastic political remark
C011446,Wrong,Safe,Fan comment about watching for one actor
C011454,Wrong,Offensive,"Body-shaming insult at individual, not group hate"
C011456,Wrong,Safe,Fan banter referencing old movie
C011458,Wrong,Safe,Mild movie criticism
C011459,Wrong,Safe,Simple negative opinion
C011461,Wrong,Safe,Supportive reality show comment
C011462,Wrong,Safe,Fan anticipation comment
C011463,Wrong,Offensive,"Vulgar hyperbole about team management, not hate"
C011482,Wrong,Safe,Comment comparing graphics to old show
C011483,Wrong,Offensive,"Rant against TikTok users, not protected-group hate"
C011496,Wrong,Safe,Fan comment about watching for actor
C011498,Wrong,Safe,"Fan discussion, no hate"
C011502,Correct,,Caste-based hostile commentary
C011506,Wrong,Safe,Neutral financial comment
C011508,Wrong,Safe,Positive reaction comment
C011509,Wrong,Safe,"Political hypocrisy comment, not vulgar"
C011518,Correct,,Mocking insult calling actor fake
C011520,Correct,,Caste-related hostile rant
C011521,Wrong,Safe,Neutral political party comment
C011522,Wrong,Offensive,"Vulgar personal insult about age gap, not group hate"
C011525,Wrong,Safe,Fan opinion about casting
C011532,Wrong,Safe,Neutral fan request
C011543,Wrong,Safe,Praise and thanks
C011547,Wrong,Safe,"Fan criticism of rivalry, not vulgar"
C011549,Wrong,Safe,Neutral fan comment about actor
C011551,Wrong,Offensive,"Complaint about spoiler trailer, mild insult"
C011554,Wrong,Safe,Neutral comparison comment
C011556,Correct,,Explicit caste-based vulgar slurs
C011560,Wrong,Safe,Unclear fan banter comparison
C011566,Wrong,Safe,Neutral fan comment about trailer discussion
C011572,Correct,,Mild insult directed at group tied to director
C011574,Wrong,Safe,Neutral comment about typecast character
C011575,Wrong,Safe,Political opinion about protests
C011578,Wrong,Safe,Unclear personal comment
C011584,Wrong,Safe,Political sarcasm
C011587,Wrong,Offensive,"Mild insult at fans, not group-identity hate"
C011596,Wrong,Safe,Emotional appreciative comment
C011602,Wrong,Threat,Explicit threat to beat/crush anyone opposing release
C011603,Wrong,Offensive,"Mocking insult at individual, not group hate"
C011606,Wrong,Offensive,"Vulgar insult at TikTok users, not protected-group hate"
C011614,Unsure,,"Garbled rant, unclear meaning"
C011618,Wrong,Sexual Harassment,Explicit sexual accusation about a specific person
C011621,Wrong,Offensive,"Vulgar insult at specific individuals in a crime case, not group hate"
C011623,Wrong,Safe,Neutral comment about short film scale
C011624,Wrong,Offensive,"Political mockery, not group-identity hate"
C011626,Unsure,,"Unclear meaning, possibly age-related comment"
C011631,Wrong,Safe,Neutral life lesson/moral
C011634,Wrong,Offensive,"Vulgar insult at group of students, not protected-class hate"
C011641,Wrong,Safe,"Sarcastic tease about someone's camera-consciousness, not hateful"
C011642,Wrong,Safe,Political mocking comment
C011645,Wrong,Safe,Political opinion urging criticism of corrupt politicians
C011651,Wrong,Safe,Praise for honesty
C011658,Wrong,Safe,Fan comment favoring another actor
C011663,Wrong,Safe,Wish for actor's return
C011664,Wrong,Safe,Neutral comment about actress
C011674,Wrong,Threat,"Explicit threat to beat critics, tied to caste debate"
C011677,Wrong,Safe,Neutral movie dialogue criticism
C011680,Wrong,Safe,Praise for trailer
C011683,Wrong,Safe,Neutral view count comparison
C011685,Wrong,Sexual Harassment,Objectifying romantic/sexual remark about a specific woman's looks
C011690,Correct,,Vulgar caste-related dehumanizing term
C011693,Wrong,Safe,Humorous comment about mispronunciation
C011703,Wrong,Safe,Supportive comment
C011708,Unsure,,"Unclear reference, possibly caste-related, ambiguous"
C011709,Wrong,Safe,"Commentary defending movie against caste-film label, not hate itself"
C011724,Wrong,Safe,Song comparison opinion
C011726,Wrong,Offensive,"Mild insult at dislikers, not group hate"
C011728,Wrong,Safe,"Political praise, no hate"
C011733,Unsure,,"Garbled fragment about PUBG, unclear"
C011735,Correct,,Fan rivalry insult calling actor a loser
C011741,Wrong,Safe,Fan complaint about dislikes
C011745,Wrong,Safe,"Unclear fan banter, no hate"
C011747,Wrong,Offensive,"Regional political insult, not protected-group hate"
C011748,Wrong,Safe,Confused comment about liking video
C011749,Wrong,Safe,Neutral movie scene comment
C011751,Wrong,Threat,Explicit violent imagery calling to cut with weapon
C011752,Wrong,Offensive,"Vulgar insult at fan group, not protected-class hate"
C011755,Wrong,Safe,Well-wishing comment
C011761,Wrong,Safe,Neutral music criticism
C011763,Wrong,Safe,Praise comparing to other movies
C011764,Unsure,,"Unclear slang term, meaning unclear"
C011766,Wrong,Offensive,"Vulgar insult at dislikers, not group hate"
C011770,Wrong,Safe,Political and social opinion about caste politics and civic sense
C011774,Correct,,Vulgar crude description of trailer quality
C011778,Wrong,Safe,Fan banter comparing actors
C011785,Wrong,Safe,Fan banter about likes
C011787,Wrong,Safe,Encouraging neutral comment
C011789,Wrong,Safe,"Opinion blaming nepotism for actor's death, not hate speech"
C011790,Wrong,Safe,Neutral political comment
C011795,Wrong,Safe,"Regional political grievance, not hate"
C011798,Wrong,Safe,"Movie criticism, calling it a flop"
C011805,Unsure,,"Vulgar fragment, unclear target/intent"
C011807,Wrong,Safe,Neutral fan poll comment
C011810,Wrong,Safe,Neutral question about movie delay
C011812,Wrong,Safe,Fan criticism about disrespecting actor
C011815,Wrong,Safe,"Political criticism, no hate"
C011816,Wrong,Safe,Praise for editing
C011818,Wrong,Safe,"Mild warning about career, not hate"
C011822,Wrong,Safe,Positive movie comparison
C011826,Wrong,Safe,Neutral comment about intense scene
C011832,Wrong,Safe,"Political comment about legal punishment, not hate speech"
C011836,Wrong,Safe,Praise for actor
C011840,Wrong,Safe,"Criticism of journalist's language, not hate speech"
C011842,Correct,,Insult calling actor a fool
C011843,Correct,,Mocking insult at young dislikers
C011848,Wrong,Threat,Threatens to beat critics with vulgar dog insult
C011852,Unsure,,"Vague comment about dress/dance, ambiguous intent"
C011855,Wrong,Safe,Neutral music criticism
C011856,Wrong,Safe,Philosophical statement about treating humans humanely
C011861,Wrong,Safe,Praise for trailer and social message
C011862,Wrong,Offensive,"Extremely vulgar personal insult, not group-targeted"
C011864,Wrong,Safe,Neutral request to YouTube admin
C011872,Wrong,Safe,"Vague moral statement, no hate"
C011876,Wrong,Safe,Praise comparing to acclaimed films
C011877,Wrong,Safe,Praise for meaningful songs
C011886,Wrong,Safe,"Political praise, no hate"
C011892,Wrong,Safe,Compliment about appearance
C011896,Wrong,Offensive,"Insult at politician, not group hate"
C011897,Wrong,Safe,Opinion criticizing film for stoking caste division
C011898,Wrong,Safe,Casual conversation about teaser
C011901,Wrong,Sexual Harassment,Extremely vulgar sexualized insult about a woman's body
C011902,Wrong,Safe,Mild unclear comment about actress
C011903,Correct,,Vulgar insult at director
C011907,Wrong,Safe,Neutral political observation
C011912,Wrong,Safe,Neutral question about political announcement
C011913,Wrong,Safe,"Vague exclamation, no hate"
C011916,Wrong,Safe,"Political criticism of lawmakers, sarcastic"
C011925,Wrong,Safe,Romantic fan question about movie scene
C011938,Wrong,Safe,Unclear joke reference
C011941,Correct,,Vulgar fan rivalry insult
C011944,Wrong,Offensive,"Vulgar insult at politician, not group hate"
C011945,Wrong,Safe,"Accusatory political question, not hate speech"
C011946,Wrong,Safe,Neutral observation about dislikes
C011947,Wrong,Safe,"Hyperbolic dislike of media house, not real threat"
C011952,Wrong,Sexual Harassment,Explicit vulgar sexual remark at named woman
C011956,Wrong,Safe,"Fan quote reference, no hate"
C011957,Wrong,Offensive,"Insult directed at a troll, not group-targeted hate"
C011964,Wrong,Safe,Mild acting criticism
C011965,Wrong,Safe,"Political opinion, no hate"
C011970,Wrong,Safe,Joking movie comparison
C011974,Wrong,Offensive,Mild insult calling someone dramatic
C011975,Correct,,Body-shaming insult at actor
C011977,Wrong,Safe,Neutral movie editing criticism
C011979,Wrong,Offensive,"Vulgar insult at individual director, not group hate"
C011980,Wrong,Safe,"Fan hype statement, no real insult"
C011981,Wrong,Safe,Neutral movie criticism
C011983,Wrong,Safe,"Political mockery about election loss, metaphorical"
C011985,Wrong,Safe,Social criticism about alcohol policy
C011986,Wrong,Safe,"Religious commentary question, no hate"
C011987,Wrong,Safe,Music comparison criticism
C011999,Wrong,Safe,Fan praise for actor family
C012000,Wrong,Safe,Positive comment about movie
C012001,Wrong,Safe,Positive fan comment
C012007,Wrong,Safe,"Comedic rural joke, no hate"
C012010,Wrong,Safe,Mocking movie comparison joke
C012015,Wrong,Safe,"Vague mild scolding, unclear target"
C012017,Wrong,Safe,Opinion criticizing caste-themed films
C012020,Wrong,Safe,Unclear fan respect comment
C012021,Wrong,Safe,General life wisdom comment
C012022,Wrong,Safe,Unclear casual slang comment
C012026,Wrong,Safe,Casual exclamation
C012029,Wrong,Safe,Unclear neutral comment
C012031,Wrong,Safe,Political debate about caste representation in cinema
C012033,Wrong,Safe,Accusatory political comment about land grabbing
C012034,Wrong,Safe,Positive fan hype comment
C012037,Wrong,Sexual Harassment,Sexualized comment about someone's gaze
C012047,Wrong,Offensive,Political insult calling someone a liar
C012053,Wrong,Safe,Praise comment
C012054,Wrong,Safe,Praise for speech
C012059,Unsure,,"Garbled phrase, ambiguous intent"
C012061,Wrong,Safe,Praise comment
C012062,Wrong,Safe,Praise for good explanation
C012065,Wrong,Safe,Well wishes for team
C012066,Wrong,Safe,Neutral comment
C012067,Wrong,Safe,"Casting suggestion, positive"
